,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
542,6.0,-73.95592,1,3.0,1.0,304
18954,96.0,-73.77288,0,13.0,4.0,354
3852,15.0,-73.92587,1,2.0,1.0,0
34822,30.0,-73.92716,1,1.0,1.0,2
41630,59.0,-73.90321,0,13.0,4.0,0
6002,63.0,-73.84901,0,1.0,4.0,183
30779,21.0,-73.91998,0,3.0,3.0,167
5198,77.0,-74.01134,1,7.0,1.0,0
44468,19.0,-73.98776,1,3.0,1.0,0
42375,49.0,-73.90941,0,3.0,2.0,220
8354,21.0,-73.92054,0,13.0,1.0,0
42624,21.0,-73.90461,0,2.0,1.0,0
21068,24.0,-73.9592,0,1.0,1.0,0
12027,2.0,-73.95271,1,7.0,1.0,269
42725,6.0,-73.95954,0,3.0,2.0,135
47477,8.0,-73.97623,0,2.0,1.0,21
28814,96.0,-73.8678,0,3.0,2.0,0
21335,28.0,-73.94977,1,13.0,4.0,338
13154,43.0,-74.01413,1,13.0,4.0,364
29641,21.0,-73.91714,1,1.0,1.0,96
38390,6.0,-73.95614,0,2.0,4.0,311
45335,96.0,-73.84746,0,1.0,1.0,89
14467,96.0,-73.86506,0,2.0,1.0,276
18558,39.0,-73.91704,0,2.0,1.0,88
12668,28.0,-73.95801,0,1.0,1.0,0
6326,8.0,-73.97126,1,1.0,1.0,0
27538,56.0,-73.90768,0,2.0,2.0,340
36115,7.0,-73.98902,0,3.0,2.0,10
2917,26.0,-73.98185,1,1.0,1.0,0
2229,2.0,-73.95419,0,2.0,1.0,320
26237,15.0,-73.92806,0,13.0,1.0,44
12725,4.0,-73.94328,1,2.0,1.0,237
7963,23.0,-73.98549,0,3.0,1.0,0
44910,96.0,-73.89618,1,1.0,4.0,365
39985,96.0,-73.97343,1,3.0,2.0,325
7744,23.0,-73.98325,1,7.0,1.0,20
42769,43.0,-74.00653,0,1.0,1.0,75
45992,8.0,-73.97381,1,13.0,4.0,200
29957,96.0,-73.91293,1,2.0,1.0,20
15944,1.0,-73.96943,1,13.0,4.0,343
5654,43.0,-74.00819,1,1.0,2.0,0
3779,8.0,-73.98643,1,1.0,1.0,0
10522,21.0,-73.92538,0,10.0,1.0,0
34612,25.0,-73.92969,1,3.0,1.0,0
3344,18.0,-73.92808,1,3.0,3.0,157
16305,43.0,-74.00764,2,10.0,1.0,0
24768,15.0,-73.93205,1,2.0,1.0,127
26454,49.0,-73.90866,0,2.0,1.0,0
10480,34.0,-73.98286,0,1.0,4.0,236
28321,25.0,-73.92908,1,5.0,1.0,0
13889,25.0,-73.95321,1,1.0,1.0,0
34669,81.0,-73.89048,0,3.0,1.0,0
43787,14.0,-73.99843,1,8.0,1.0,39
23951,96.0,-73.9116,1,5.0,1.0,0
16721,2.0,-73.94689,1,3.0,3.0,297
