,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
879,0.0,0.5002830936473686,0.5,0.16666666666666669,0.0,0.5178082191780822
44383,0.4583333333333333,0.6323557166043656,0.0,0.9999999999999999,0.0,0.2
15394,0.07291666666666666,0.4768995583739013,0.0,0.08333333333333333,0.0,0.0
43230,0.44791666666666663,0.4385120597893888,0.5,0.08333333333333333,1.0,0.7452054794520548
16332,0.041666666666666664,0.585022458762694,0.5,0.08333333333333333,0.0,0.0821917808219178
5966,0.125,0.5450307628430267,0.5,0.0,0.0,0.07671232876712329
29838,0.125,0.5313101574000711,0.0,0.3333333333333333,0.0,0.0
41764,1.0,0.7500660551843907,0.5,0.9999999999999999,0.0,0.3315068493150685
11118,0.28125,0.4622353074396983,0.5,0.08333333333333333,0.0,0.1506849315068493
31800,1.0,0.7834333597554064,0.5,0.08333333333333333,1.0,0.1917808219178082
44211,0.8645833333333333,0.6857660514098143,1.0,0.0,1.0,0.9698630136986301
31732,1.0,0.641112746763298,0.0,0.08333333333333333,0.0,1.0
5990,0.19791666666666666,0.500396331106316,0.5,0.16666666666666669,0.0,0.010958904109589041
13153,0.03125,0.5190238931038493,0.0,0.0,0.0,0.0
24650,0.13541666666666666,0.5040199297927757,0.5,0.9999999999999999,0.0,0.0
19825,0.7083333333333333,0.49118635111162234,0.0,0.16666666666666669,0.0,0.0
45050,0.0625,0.56186539840715,0.5,0.9999999999999999,0.0,0.3643835616438356
24017,0.28125,0.45270448797796803,0.0,0.0,0.0,0.0
32814,0.20833333333333331,0.5539765221001858,0.5,0.0,0.0,0.016438356164383564
3290,0.08333333333333333,0.48714754840901264,0.5,0.0,0.0,0.0
41958,1.0,0.6614388706450711,0.0,0.08333333333333333,0.0,0.23013698630136986
5522,0.020833333333333332,0.5383686256747069,0.5,0.0,0.0,0.0
2757,0.125,0.5707167931151673,0.5,0.0,0.0,0.7452054794520548
708,0.11458333333333333,0.4496093307666058,0.5,0.49999999999999994,0.0,0.0
11972,0.23958333333333331,0.478333899520635,0.5,0.16666666666666669,0.0,0.0
38717,0.8020833333333333,0.44598573208017456,0.5,0.9999999999999999,1.0,0.10410958904109589
47735,0.75,0.612463669648605,0.0,0.16666666666666669,0.0,0.4438356164383562
13963,0.7916666666666666,0.5028309364737709,1.0,0.0,1.0,0.4931506849315069
7029,0.125,0.5263465821160196,0.0,0.0,0.0,0.052054794520547946
37282,0.020833333333333332,0.5686030272147491,0.0,0.9999999999999999,1.0,0.673972602739726
6720,0.19791666666666666,0.5018117993432156,0.0,0.08333333333333333,0.0,0.0
8479,1.0,0.8415807949269549,0.5,0.0,0.0,0.9424657534246575
4273,0.20833333333333331,0.5689993583210651,0.5,0.9999999999999999,1.0,0.9205479452054794
17483,0.19791666666666666,0.4960555618465321,0.0,0.0,0.0,0.23013698630136986
25290,0.3020833333333333,0.5128147057713477,0.5,0.08333333333333333,0.0,0.0
15838,0.125,0.5283282376476848,0.0,0.08333333333333333,0.0,0.0
23716,0.3125,0.5719624051636174,0.5,0.3333333333333333,0.0,0.06027397260273973
47262,0.07291666666666666,0.4704638961235048,0.0,0.9999999999999999,0.0,0.684931506849315
