,neighbourhood,longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365
879,0.0,-73.97777,1,3.0,1.0,189
44383,44.0,-73.90779,0,13.0,1.0,73
15394,7.0,-73.99016,0,2.0,1.0,0
43230,43.0,-74.0105,1,2.0,4.0,272
16332,4.0,-73.93287,1,2.0,1.0,30
5966,12.0,-73.95406,1,1.0,1.0,28
29838,12.0,-73.96133,0,5.0,1.0,0
41764,96.0,-73.84542,1,13.0,1.0,121
11118,27.0,-73.99793,1,2.0,1.0,55
31800,96.0,-73.82774,1,2.0,4.0,70
44211,83.0,-73.87949,2,1.0,4.0,354
31732,96.0,-73.90315,0,2.0,1.0,365
5990,19.0,-73.97771,1,3.0,1.0,4
13153,3.0,-73.96784,0,1.0,1.0,0
24650,13.0,-73.97579,1,13.0,1.0,0
19825,68.0,-73.98259,0,3.0,1.0,0
45050,6.0,-73.94514,1,13.0,1.0,133
24017,27.0,-74.00298,0,1.0,1.0,0
32814,20.0,-73.94932,1,1.0,1.0,6
3290,8.0,-73.98473,1,1.0,1.0,0
41958,96.0,-73.89238,0,2.0,1.0,84
5522,2.0,-73.95759,1,1.0,1.0,0
2757,12.0,-73.94045,1,1.0,1.0,272
708,11.0,-74.00462,1,7.0,1.0,0
11972,23.0,-73.9894,1,3.0,1.0,0
38717,77.0,-74.00654,1,13.0,4.0,38
47735,72.0,-73.91833,0,3.0,1.0,162
13963,76.0,-73.97642,2,1.0,4.0,180
7029,12.0,-73.96396,0,1.0,1.0,19
37282,2.0,-73.94157,0,13.0,4.0,246
6720,19.0,-73.97696,0,2.0,1.0,0
8479,96.0,-73.79693,1,1.0,1.0,344
4273,20.0,-73.94136,1,13.0,4.0,336
17483,19.0,-73.98001,0,1.0,1.0,84
25290,29.0,-73.97113,1,2.0,1.0,0
15838,12.0,-73.96291,0,2.0,1.0,0
23716,30.0,-73.93979,1,5.0,1.0,22
47262,7.0,-73.99357,0,13.0,1.0,250
37714,23.0,-73.98726,1,1.0,1.0,0
42436,67.0,-73.96871,2,10.0,4.0,0
41724,4.0,-73.93752,1,3.0,1.0,0
16248,2.0,-73.94686,1,2.0,1.0,75
36070,21.0,-73.92077,0,13.0,4.0,365
28613,8.0,-73.98833,1,13.0,4.0,363
21100,2.0,-73.95538,0,1.0,2.0,32
26812,64.0,-73.99461,1,1.0,1.0,0
24775,23.0,-73.98245,0,5.0,1.0,0
41870,43.0,-74.00927,1,5.0,1.0,298
16492,2.0,-73.95046,1,1.0,1.0,0
29144,1.0,-73.96545,0,2.0,1.0,49
19378,15.0,-73.92643,1,13.0,1.0,0
39079,7.0,-73.99386,1,4.0,2.0,0
9192,16.0,-73.97865,0,1.0,4.0,0
25853,7.0,-73.98567,0,3.0,4.0,225
32361,7.0,-73.99375,1,1.0,1.0,357
10814,71.0,-73.98668,0,2.0,1.0,0
45047,21.0,-73.92477,1,2.0,1.0,4
27026,34.0,-73.99158,1,3.0,1.0,99
26938,25.0,-73.93075,0,7.0,2.0,34
31396,21.0,-73.9081,1,4.0,1.0,38
4883,96.0,-73.89956,0,13.0,4.0,352
21856,21.0,-73.91587,0,1.0,1.0,0
42275,37.0,-73.80868,1,4.0,1.0,365
3939,2.0,-73.94193,0,3.0,2.0,178
16671,22.0,-73.95325,0,4.0,2.0,0
