neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,6,40.68497,-73.95592,1,3,207,2.18,1,304
2,184,40.59324,-73.77288,0,30,1,0.04,43,354
0,15,40.67026,-73.92587,1,2,17,0.39,1,0
1,30,40.85268,-73.92716,1,1,42,4.0,1,2
4,59,40.88474,-73.90321,0,30,0,0.72,37,0
2,63,40.7132,-73.84901,0,1,1,0.02,5,183
0,21,40.70336,-73.91998,0,3,25,1.62,3,167
1,77,40.71726,-74.01134,1,7,16,0.34,1,0
1,19,40.72325,-73.98776,1,3,4,1.82,1,0
2,49,40.77558,-73.90941,0,3,13,3.71,2,220
0,21,40.70746,-73.92054,0,30,10,0.2,1,0
0,21,40.69339,-73.90461,0,2,6,1.62,1,0
0,24,40.65961,-73.9592,0,1,1,0.04,1,0
1,2,40.82339,-73.95271,1,7,7,0.16,1,269
0,6,40.69284,-73.95954,0,3,0,0.72,2,135
1,8,40.78527,-73.97623,0,2,3,3.0,1,21
2,129,40.69003,-73.8678,0,3,14,0.83,2,0
1,28,40.77743,-73.94977,1,31,4,0.23,33,338
1,43,40.70749,-74.01413,1,30,2,0.06,121,364
0,21,40.7,-73.91714,1,1,45,2.56,1,96
0,6,40.68795,-73.95614,0,2,9,1.29,4,311
4,127,40.87874,-73.84746,0,1,0,0.72,1,89
4,136,40.85324,-73.86506,0,2,83,2.08,1,276
2,39,40.74615,-73.91704,0,2,1,0.03,1,88
1,28,40.76496,-73.95801,0,1,0,0.72,1,0
1,8,40.79293,-73.97126,1,1,0,0.72,1,0
2,56,40.76848,-73.90768,0,2,42,2.09,2,340
1,7,40.76382,-73.98902,0,3,8,0.86,2,10
1,26,40.74011,-73.98185,1,1,0,0.72,1,0
1,2,40.80384,-73.95419,0,2,27,0.57,1,320
0,15,40.66689,-73.92806,0,21,1,0.05,1,44
1,4,40.78857,-73.94328,1,2,118,2.74,1,237
1,23,40.71974,-73.98549,0,3,19,0.41,1,0
0,100,40.63031,-73.89618,1,1,5,4.41,5,365
0,111,40.61019,-73.97343,1,3,0,0.72,2,325
1,23,40.71832,-73.98325,1,7,11,0.22,1,20
1,43,40.70529,-74.00653,0,1,7,3.18,1,75
1,8,40.78873,-73.97381,1,30,0,0.72,9,200
0,147,40.67087,-73.91293,1,2,23,2.88,1,20
1,1,40.75754,-73.96943,1,30,0,0.72,52,343
1,43,40.70499,-74.00819,1,1,2,0.04,2,0
1,8,40.77018,-73.98643,1,1,0,0.72,1,0
0,21,40.70343,-73.92538,0,10,1,0.02,1,0
2,25,40.76398,-73.92969,1,3,0,0.72,1,0
1,18,40.8639,-73.92808,1,3,127,1.89,3,157
1,43,40.70883,-74.00764,2,10,0,0.72,1,0
0,15,40.67719,-73.93205,1,2,51,2.15,1,127
2,49,40.77839,-73.90866,0,2,1,0.05,1,0
0,34,40.67872,-73.98286,0,1,171,3.82,8,236
2,25,40.75797,-73.92908,1,5,9,0.49,1,0
2,25,40.74399,-73.95321,1,1,0,0.72,1,0
2,81,40.74586,-73.89048,0,3,1,0.09,1,0
1,14,40.75114,-73.99843,1,8,3,1.05,1,39
1,165,40.8753,-73.9116,1,5,0,0.72,1,0
1,2,40.8057,-73.94689,1,3,46,1.3,3,297
0,16,40.67534,-73.97332,1,10,1,0.21,1,264
1,28,40.77321,-73.95175,0,1,0,0.72,1,0
0,12,40.71903,-73.9597,1,1,68,0.67,2,215
0,21,40.68987,-73.92241,0,1,4,0.34,1,0
2,56,40.76507,-73.90577,1,30,32,0.72,1,67
1,1,40.75913,-73.96487,1,30,0,0.72,1,246
1,19,40.72841,-73.98231,1,2,10,0.18,1,0
1,2,40.82524,-73.94186,1,5,13,0.22,1,0
2,149,40.73979,-73.77752,1,1,1,1.0,1,178
0,12,40.71382,-73.94385,1,2,19,1.03,1,297
1,28,40.77401,-73.9457,0,1,2,0.03,1,0
0,3,40.6846,-73.96536,1,2,84,2.03,1,327
1,1,40.75227,-73.97351,1,1,1,0.03,1,0
1,19,40.7221,-73.98259,0,4,1,0.03,1,0
0,20,40.72865,-73.95937,1,5,17,0.83,1,0
1,2,40.80399,-73.94665,0,250,91,1.47,1,138
1,71,40.75965,-73.98652,1,29,0,0.72,327,338
1,23,40.72224,-73.99192,1,1,0,0.72,1,0
0,12,40.70877,-73.95064,0,2,3,3.0,1,84
1,8,40.7734,-73.98684,0,60,0,0.72,1,365
0,21,40.70517,-73.91703,1,2,0,0.72,3,155
0,15,40.673,-73.95043,0,1,8,2.53,1,75
1,8,40.77538,-73.98814,1,30,7,0.38,25,313
0,22,40.65148,-73.95847,1,1,5,0.08,1,0
1,68,40.73481,-73.98669,1,2,8,0.16,1,0
0,12,40.70927,-73.94684,0,1,2,0.44,2,151
1,28,40.76996,-73.9576,1,2,57,4.44,1,1
2,25,40.74462,-73.95521,1,2,1,0.02,1,0
2,25,40.75844,-73.93154,0,2,13,0.51,2,0
1,8,40.77401,-73.99056,1,4,6,0.14,1,0
0,3,40.68274,-73.96367,1,1,5,0.14,1,0
2,56,40.77298,-73.92461,1,1,1,0.16,2,2
0,35,40.62453,-73.92479,0,2,3,1.73,1,275
1,11,40.73246,-74.00215,1,10,4,0.06,1,3
1,8,40.79328,-73.96817,1,31,0,0.72,3,347
0,12,40.71916,-73.95696,1,2,11,0.14,1,364
1,14,40.74186,-74.00528,1,2,6,0.14,1,0
1,30,40.84305,-73.94045,1,2,10,0.21,1,0
