neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0.0,6.0,40.68497,-73.95592,1,3.0,70.0,2.18,1.0,304
2.0,96.0,40.59324,-73.77288,0,13.0,1.0,0.04,4.0,354
0.0,15.0,40.67026,-73.92587,1,2.0,17.0,0.39,1.0,0
1.0,30.0,40.85268,-73.92716,1,1.0,42.0,4.0,1.0,2
3.0,59.0,40.88474,-73.90321,0,13.0,0.0,0.72,4.0,0
2.0,63.0,40.7132,-73.84901,0,1.0,1.0,0.02,4.0,183
0.0,21.0,40.70336,-73.91998,0,3.0,25.0,1.62,3.0,167
1.0,77.0,40.71726,-74.01134,1,7.0,16.0,0.34,1.0,0
1.0,19.0,40.72325,-73.98776,1,3.0,4.0,1.82,1.0,0
2.0,49.0,40.77558,-73.90941,0,3.0,13.0,3.71,2.0,220
0.0,21.0,40.70746,-73.92054,0,13.0,10.0,0.2,1.0,0
0.0,21.0,40.69339,-73.90461,0,2.0,6.0,1.62,1.0,0
0.0,24.0,40.65961,-73.9592,0,1.0,1.0,0.04,1.0,0
1.0,2.0,40.82339,-73.95271,1,7.0,7.0,0.16,1.0,269
0.0,6.0,40.69284,-73.95954,0,3.0,0.0,0.72,2.0,135
1.0,8.0,40.78527,-73.97623,0,2.0,3.0,3.0,1.0,21
2.0,96.0,40.69003,-73.8678,0,3.0,14.0,0.83,2.0,0
1.0,28.0,40.77743,-73.94977,1,13.0,4.0,0.23,4.0,338
1.0,43.0,40.70749,-74.01413,1,13.0,2.0,0.06,4.0,364
0.0,21.0,40.7,-73.91714,1,1.0,45.0,2.56,1.0,96
0.0,6.0,40.68795,-73.95614,0,2.0,9.0,1.29,4.0,311
3.0,96.0,40.87874,-73.84746,0,1.0,0.0,0.72,1.0,89
3.0,96.0,40.85324,-73.86506,0,2.0,70.0,2.08,1.0,276
2.0,39.0,40.74615,-73.91704,0,2.0,1.0,0.03,1.0,88
1.0,28.0,40.76496,-73.95801,0,1.0,0.0,0.72,1.0,0
1.0,8.0,40.79293,-73.97126,1,1.0,0.0,0.72,1.0,0
2.0,56.0,40.76848,-73.90768,0,2.0,42.0,2.09,2.0,340
1.0,7.0,40.76382,-73.98902,0,3.0,8.0,0.86,2.0,10
1.0,26.0,40.74011,-73.98185,1,1.0,0.0,0.72,1.0,0
1.0,2.0,40.80384,-73.95419,0,2.0,27.0,0.57,1.0,320
0.0,15.0,40.66689,-73.92806,0,13.0,1.0,0.05,1.0,44
1.0,4.0,40.78857,-73.94328,1,2.0,70.0,2.74,1.0,237
1.0,23.0,40.71974,-73.98549,0,3.0,19.0,0.41,1.0,0
0.0,96.0,40.63031,-73.89618,1,1.0,5.0,4.18,4.0,365
0.0,96.0,40.61019,-73.97343,1,3.0,0.0,0.72,2.0,325
1.0,23.0,40.71832,-73.98325,1,7.0,11.0,0.22,1.0,20
1.0,43.0,40.70529,-74.00653,0,1.0,7.0,3.18,1.0,75
1.0,8.0,40.78873,-73.97381,1,13.0,0.0,0.72,4.0,200
0.0,96.0,40.67087,-73.91293,1,2.0,23.0,2.88,1.0,20
1.0,1.0,40.75754,-73.96943,1,13.0,0.0,0.72,4.0,343
1.0,43.0,40.70499,-74.00819,1,1.0,2.0,0.04,2.0,0
1.0,8.0,40.77018,-73.98643,1,1.0,0.0,0.72,1.0,0
0.0,21.0,40.70343,-73.92538,0,10.0,1.0,0.02,1.0,0
2.0,25.0,40.76398,-73.92969,1,3.0,0.0,0.72,1.0,0
1.0,18.0,40.8639,-73.92808,1,3.0,70.0,1.89,3.0,157
1.0,43.0,40.70883,-74.00764,2,10.0,0.0,0.72,1.0,0
0.0,15.0,40.67719,-73.93205,1,2.0,51.0,2.15,1.0,127
2.0,49.0,40.77839,-73.90866,0,2.0,1.0,0.05,1.0,0
0.0,34.0,40.67872,-73.98286,0,1.0,70.0,3.82,4.0,236
2.0,25.0,40.75797,-73.92908,1,5.0,9.0,0.49,1.0,0
2.0,25.0,40.74399,-73.95321,1,1.0,0.0,0.72,1.0,0
2.0,81.0,40.74586,-73.89048,0,3.0,1.0,0.09,1.0,0
1.0,14.0,40.75114,-73.99843,1,8.0,3.0,1.05,1.0,39
1.0,96.0,40.8753,-73.9116,1,5.0,0.0,0.72,1.0,0
1.0,2.0,40.8057,-73.94689,1,3.0,46.0,1.3,3.0,297
0.0,16.0,40.67534,-73.97332,1,10.0,1.0,0.21,1.0,264
1.0,28.0,40.77321,-73.95175,0,1.0,0.0,0.72,1.0,0
0.0,12.0,40.71903,-73.9597,1,1.0,68.0,0.67,2.0,215
0.0,21.0,40.68987,-73.92241,0,1.0,4.0,0.34,1.0,0
2.0,56.0,40.76507,-73.90577,1,13.0,32.0,0.72,1.0,67
1.0,1.0,40.75913,-73.96487,1,13.0,0.0,0.72,1.0,246
1.0,19.0,40.72841,-73.98231,1,2.0,10.0,0.18,1.0,0
1.0,2.0,40.82524,-73.94186,1,5.0,13.0,0.22,1.0,0
2.0,96.0,40.73979,-73.77752,1,1.0,1.0,1.0,1.0,178
0.0,12.0,40.71382,-73.94385,1,2.0,19.0,1.03,1.0,297
1.0,28.0,40.77401,-73.9457,0,1.0,2.0,0.03,1.0,0
0.0,3.0,40.6846,-73.96536,1,2.0,70.0,2.03,1.0,327
1.0,1.0,40.75227,-73.97351,1,1.0,1.0,0.03,1.0,0
1.0,19.0,40.7221,-73.98259,0,4.0,1.0,0.03,1.0,0
0.0,20.0,40.72865,-73.95937,1,5.0,17.0,0.83,1.0,0
1.0,2.0,40.80399,-73.94665,0,13.0,70.0,1.47,1.0,138
1.0,71.0,40.75965,-73.98652,1,13.0,0.0,0.72,4.0,338
1.0,23.0,40.72224,-73.99192,1,1.0,0.0,0.72,1.0,0
0.0,12.0,40.70877,-73.95064,0,2.0,3.0,3.0,1.0,84
1.0,8.0,40.7734,-73.98684,0,13.0,0.0,0.72,1.0,365
0.0,21.0,40.70517,-73.91703,1,2.0,0.0,0.72,3.0,155
0.0,15.0,40.673,-73.95043,0,1.0,8.0,2.53,1.0,75
1.0,8.0,40.77538,-73.98814,1,13.0,7.0,0.38,4.0,313
0.0,22.0,40.65148,-73.95847,1,1.0,5.0,0.08,1.0,0
1.0,68.0,40.73481,-73.98669,1,2.0,8.0,0.16,1.0,0
0.0,12.0,40.70927,-73.94684,0,1.0,2.0,0.44,2.0,151
1.0,28.0,40.76996,-73.9576,1,2.0,57.0,4.18,1.0,1
2.0,25.0,40.74462,-73.95521,1,2.0,1.0,0.02,1.0,0
2.0,25.0,40.75844,-73.93154,0,2.0,13.0,0.51,2.0,0
1.0,8.0,40.77401,-73.99056,1,4.0,6.0,0.14,1.0,0
0.0,3.0,40.68274,-73.96367,1,1.0,5.0,0.14,1.0,0
2.0,56.0,40.77298,-73.92461,1,1.0,1.0,0.16,2.0,2
0.0,35.0,40.62453,-73.92479,0,2.0,3.0,1.73,1.0,275
1.0,11.0,40.73246,-74.00215,1,10.0,4.0,0.06,1.0,3
1.0,8.0,40.79328,-73.96817,1,13.0,0.0,0.72,3.0,347
0.0,12.0,40.71916,-73.95696,1,2.0,11.0,0.14,1.0,364
