cntry,PIB,Inflation,sma,cntrycat,color,cntrycat_factorizado
Alemania,54343.2,5.9,60867,Rico,green,0
Austria,56033.6,7.8,57082,Rico,green,0
Bélgica,54700.9,4.0,59285,Rico,green,0
Chipre,36551.4,3.5,26689,Media Europea,blue,1
Croacia,21865.5,7.9,17714,Media Europea,blue,1
Eslovenia,32610.1,7.4,26667,Media Europea,blue,1
España,33509.0,3.5,30237,Media Europea,blue,1
Estonia,30133.3,9.2,21595,Media Europea,blue,1
Finlandia,52925.7,6.3,53310,Rico,green,0
Francia,44690.9,4.9,43438,Media Europea,blue,1
Grecia,23400.7,3.5,23536,Media Europea,blue,1
Irlanda,103887.8,6.3,59899,Rico,green,0
Italia,39003.3,5.6,33492,Media Europea,blue,1
Letonia,22502.8,8.9,18559,Media Europea,blue,1
Lituania,27786.0,9.1,23409,Media Europea,blue,1
Luxemburgo,128678.2,3.7,73418,Rico,green,0
Malta,40395.8,5.1,27232,Media Europea,blue,1
Países Bajos,64572.0,3.8,62281,Rico,green,0
Portugal,27331.2,4.3,23714,Media Europea,blue,1
Eslovaquia,24491.4,10.5,16835,Pobre,red,2
Hungría,22141.0,17.1,18730,Pobre,red,2
