,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,0,0,40.64749,-73.97237,0,149,1,9,0.21,6,365
1,1,1,40.75362,-73.98377,1,225,1,45,0.38,2,355
2,1,2,40.80902,-73.9419,0,150,3,0,0.72,1,365
3,0,3,40.68514,-73.95976,1,89,1,270,4.64,1,194
4,1,4,40.79851,-73.94399,1,80,10,9,0.1,1,0
5,1,5,40.74767,-73.975,1,200,3,74,0.59,1,129
6,0,6,40.68688,-73.95596,0,60,45,49,0.4,1,0
7,1,7,40.76489,-73.98493,0,79,2,430,3.47,1,220
8,1,8,40.80178,-73.96723,0,79,2,118,0.99,1,0
9,1,9,40.71344,-73.99037,1,150,1,160,1.33,4,188
10,1,8,40.80316,-73.96545,1,135,5,53,0.43,1,6
11,1,7,40.76076,-73.98867,0,85,2,188,1.5,1,39
12,0,10,40.66829,-73.98779,0,89,4,167,1.34,3,314
13,1,8,40.79826,-73.96113,0,85,2,113,0.91,1,333
14,1,11,40.7353,-74.00525,1,120,90,27,0.22,1,0
15,0,12,40.70837,-73.95352,1,140,2,148,1.2,1,46
16,0,13,40.69169,-73.97185,1,215,2,198,1.72,1,321
17,1,14,40.74192,-73.99501,0,140,1,260,2.12,1,12
18,0,15,40.67592,-73.94694,1,99,3,53,4.44,1,21
19,1,4,40.79685,-73.94872,1,190,7,0,0.72,2,249
20,0,12,40.71842,-73.95718,1,299,3,9,0.07,1,0
21,0,16,40.68069,-73.97706,0,130,2,130,1.09,6,347
22,0,16,40.67989,-73.97798,0,80,1,39,0.37,6,364
23,0,16,40.68001,-73.97865,0,110,2,71,0.61,6,304
24,0,6,40.68371,-73.94028,1,120,2,88,0.73,2,233
25,0,17,40.65599,-73.97519,0,60,1,19,1.37,2,85
26,1,18,40.86754,-73.92639,0,80,4,0,0.72,1,0
27,1,7,40.76715,-73.98533,1,150,10,58,0.49,1,75
28,1,18,40.86482,-73.92106,0,44,3,108,1.11,3,311
29,1,19,40.7292,-73.98542,1,180,14,29,0.24,1,67
30,1,2,40.82245,-73.95104,0,50,3,242,2.04,3,355
31,1,2,40.81305,-73.95466,0,52,2,88,1.42,1,255
32,0,20,40.72219,-73.93762,0,55,4,197,1.65,3,284
33,1,2,40.8213,-73.95318,0,50,3,273,2.37,3,359
34,0,6,40.6831,-73.95473,0,70,1,74,0.66,2,269
35,0,10,40.66869,-73.9878,0,89,4,168,1.41,3,340
36,0,6,40.68876,-73.94312,0,35,60,0,0.72,1,365
37,0,21,40.70186,-73.92745,1,85,2,231,1.96,2,22
38,0,22,40.63702,-73.96327,0,150,1,0,0.72,1,365
39,1,23,40.71401,-73.98917,2,40,1,214,1.81,4,188
40,1,19,40.7229,-73.98199,0,68,2,245,2.08,2,96
41,0,10,40.66278,-73.97966,1,120,3,15,0.39,1,345
42,0,13,40.69673,-73.97584,0,120,7,25,0.23,1,311
43,1,8,40.79009,-73.97927,0,135,4,81,0.69,1,273
44,1,2,40.81175,-73.94478,1,150,7,97,0.84,1,309
