pplfair,pplhlp,ppltrst,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,lw_pnd,cnt_fc,rel3fc,happyfc,confianza_promedio,confianza_promedio_factorizada,satisf_media,satisf_media_factorizada,pintfc,ppl,ppl_fc,lrfc3d,relbin,sm3d,sm4d,lr4d,confM4d,pplfair3d,pplhlp3d,ppltrst3d,stfdem3d,stfeco3d,stfgov3d,trstep3d,trstlgl3d,trstplc2fc,trstplt2fc,trstprl3d
4.0,4.0,3.0,3.0,2.0,8.0,5.0,7.0,4.0,6.0,7.0,4.0,7.0,5.0,8.0,5.0,5.0,7.0,1.0,0,2.0,1,0,1,5.857142857142857,2,6.666666666666667,3,1,3.6666666666666665,1,0,1,2,3,0,3,2,2,2,2,1,2,2,1,1,1,2
5.0,6.0,4.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,3.0,3.0,3.0,10.0,8.0,5.0,8.0,10.0,2,1.0,8,2,1,4.714285714285714,2,2.333333333333333,1,1,5.0,2,0,1,0,0,0,2,0,2,2,0,0,2,2,0,1,1,1
0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,5.0,4.0,5.0,3.0,10.0,4.0,7.0,1.0,2.0,9.0,8.0,2,2.0,8,2,2,5.428571428571429,2,1.3333333333333333,0,0,0.0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,1,1,2
8.0,7.0,8.0,6.0,1.0,7.0,7.0,4.0,4.0,7.0,7.0,6.0,8.0,7.0,2.0,7.0,4.0,9.0,0.0,0,2.0,2,0,2,5.857142857142857,2,6.0,3,0,7.666666666666667,3,0,1,0,3,1,3,2,2,2,0,2,1,0,2,1,1,2
6.0,7.0,8.0,3.0,2.0,6.0,8.0,7.0,7.0,9.0,7.0,6.0,7.0,8.0,10.0,8.0,8.0,8.0,2.0,0,3.0,2,0,1,7.714285714285714,3,7.0,3,1,7.0,2,0,1,2,3,0,3,2,2,2,2,2,2,2,2,1,0,2
5.0,5.0,4.0,3.0,3.0,3.0,2.0,0.0,4.0,3.0,3.0,4.0,6.0,0.0,7.0,8.0,2.0,10.0,1.0,1,2.0,3,0,2,3.857142857142857,1,1.6666666666666667,0,1,4.666666666666667,1,0,1,0,0,0,0,1,2,2,2,0,0,1,0,1,1,0
7.0,7.0,5.0,7.0,2.0,7.0,8.0,7.0,2.0,7.0,8.0,5.0,7.0,5.0,9.0,3.0,2.0,9.0,8.0,2,1.0,7,2,2,6.142857142857143,3,7.333333333333333,3,1,6.333333333333333,2,2,0,2,3,3,3,1,2,1,2,2,2,0,2,1,1,2
8.0,7.0,6.0,7.0,2.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0,8.0,0.0,0,3.0,2,0,1,7.285714285714286,3,6.666666666666667,3,1,7.0,2,2,1,2,3,3,3,2,2,1,2,2,2,2,2,1,0,2
6.0,4.0,5.0,2.0,2.0,6.0,5.0,3.0,3.0,5.0,6.0,4.0,4.0,5.0,7.0,8.0,8.0,9.0,8.0,0,1.0,1,2,2,4.857142857142857,2,4.666666666666667,2,1,5.0,2,0,0,2,1,0,2,0,0,1,1,1,2,2,1,1,1,0
9.0,2.0,7.0,8.0,1.0,3.0,7.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,2.0,8.0,7.0,0,2.0,1,2,1,2.142857142857143,1,3.6666666666666665,1,0,6.0,2,2,1,2,1,3,0,2,0,0,2,2,0,0,1,1,1,0
