cntry,pplfair,pplhlp,ppltrst,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,lw_pnd,cnt_fc,rel3fc,happyfc,confianza_promedio,confianza_promedio_factorizada,satisf_media,satisf_media_factorizada,pintfc,ppl,ppl_fc,lrfc3d,relbin,sm3d,sm4d,lr4d,confM4d,pplfair3d,pplhlp3d,ppltrst3d,stfdem3d,stfeco3d,stfgov3d,trstep3d,trstlgl3d,trstplc2fc,trstplt2fc,trstprl3d
Bélgica,4.0,5.0,5.0,5.0,2.0,7.0,5.0,5.0,5.0,3.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,7.0,0.0,0,2.0,0,0,1,4.571428571428571,2,5.666666666666667,2,1,4.666666666666667,1,2,1,2,2,1,1,1,1,2,0,Medio,2,2,Bajo,1,1,0
Bélgica,8.0,8.0,10.0,5.0,4.0,5.0,7.0,5.0,2.0,3.0,4.0,4.0,3.0,2.0,6.0,6.0,0.0,10.0,5.0,0,1.0,0,1,2,3.4285714285714284,1,5.666666666666667,2,2,8.666666666666666,3,1,1,2,2,1,0,2,2,2,1,Alto,0,0,Bajo,1,1,2
Bélgica,7.0,8.0,7.0,5.0,3.0,6.0,6.0,4.0,7.0,8.0,8.0,6.0,6.0,5.0,4.0,5.0,4.0,8.0,4.0,0,3.0,0,1,1,6.285714285714286,3,5.333333333333333,2,1,7.333333333333333,2,2,1,1,2,1,3,2,2,1,0,Alto,1,2,Alto,1,0,2
Bélgica,3.0,8.0,0.0,6.0,2.0,7.0,5.0,5.0,7.0,5.0,7.0,7.0,5.0,7.0,5.0,3.0,2.0,8.0,5.0,0,3.0,0,1,1,6.142857142857143,3,5.666666666666667,2,1,3.6666666666666665,1,2,1,0,2,2,3,0,2,0,2,Medio,2,2,Medio,1,0,0
Bélgica,5.0,8.0,6.0,8.0,2.0,9.0,8.0,4.0,8.0,8.0,9.0,4.0,6.0,4.0,7.0,3.0,3.0,9.0,6.0,0,3.0,0,1,2,6.571428571428571,3,7.0,3,1,6.333333333333333,2,2,1,2,3,3,3,2,2,2,2,Alto,1,2,Alto,1,1,1
Bélgica,6.0,7.0,6.0,4.0,3.0,8.0,7.0,6.0,8.0,6.0,7.0,6.0,7.0,7.0,9.0,6.0,7.0,9.0,5.0,0,2.0,0,1,2,7.142857142857143,3,7.0,3,1,6.333333333333333,2,1,1,2,3,2,3,2,2,1,2,Alto,2,2,Medio,1,0,2
Bélgica,7.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,6.0,10.0,5.0,5.0,8.0,8.0,0,2.0,0,2,1,7.142857142857143,3,5.0,2,2,6.333333333333333,2,2,0,1,2,2,3,2,2,2,0,Medio,0,2,Alto,1,0,2
Bélgica,5.0,2.0,8.0,4.0,3.0,5.0,4.0,4.0,2.0,9.0,5.0,3.0,3.0,8.0,5.0,4.0,5.0,2.0,10.0,0,1.0,0,2,0,5.0,2,4.333333333333333,2,1,5.0,2,2,0,0,2,1,2,0,0,2,2,Medio,2,0,Alto,1,1,2
Bélgica,7.0,7.0,7.0,5.0,4.0,8.0,5.0,5.0,7.0,3.0,7.0,3.0,7.0,5.0,6.0,6.0,5.0,7.0,8.0,0,2.0,0,2,1,5.428571428571429,2,6.0,3,2,7.0,2,0,1,2,3,1,1,1,2,0,2,Medio,0,2,Bajo,1,1,2
Bélgica,6.0,4.0,6.0,7.0,2.0,6.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,8.0,5.0,5.0,5.0,5.0,0,1.0,0,1,0,4.285714285714286,2,4.666666666666667,2,1,5.333333333333333,2,2,1,1,2,3,1,2,2,2,0,Medio,2,0,Bajo,1,1,0
Bélgica,3.0,6.0,7.0,7.0,3.0,4.0,5.0,4.0,4.0,3.0,7.0,5.0,5.0,2.0,7.0,2.0,5.0,8.0,7.0,0,1.0,0,2,1,4.714285714285714,2,4.333333333333333,2,1,5.333333333333333,2,2,1,2,2,3,1,0,0,2,0,Medio,2,2,Bajo,1,1,2
Bélgica,7.0,5.0,5.0,2.0,2.0,6.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,8.0,0.0,0,1.0,0,0,1,6.428571428571429,3,6.0,3,1,5.666666666666667,2,0,1,1,3,0,3,2,0,0,1,Alto,2,2,Medio,1,0,2
