"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplfair","pplhlp","ppltrst","lrscale","polintr","stfdem","stfeco","stfgov","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstsci","imbgeco","imwbcnt","happy","rlgdgr"
"ESS1e06_7",1,"6.7","23.11.2023",4,"BE",1,0.86536336,0.44783992,0.38754424,,,,9,1,5,99,1,99,99,99,0,9,8,8,10,,,99,99,99,99
"ESS1e06_7",1,"6.7","23.11.2023",9,"BE",1,1.3244808,0.44783992,0.5931554,,,,7,5,4,7,3,6,6,8,7,8,9,6,7,,,6,4,8,6
"ESS1e06_7",1,"6.7","23.11.2023",11,"BE",1,3.8053796,0.44783992,1.7042009,,,,7,6,0,5,3,6,6,7,8,9,7,6,7,,,4,6,7,7
"ESS1e06_7",1,"6.7","23.11.2023",13,"BE",1,1.0635808,0.44783992,0.47631392,,,,8,5,7,5,1,8,7,8,8,8,8,8,7,,,8,7,8,0
"ESS1e06_7",1,"6.7","23.11.2023",16,"BE",1,2.1125047,0.44783992,0.94606394,,,,8,5,7,2,2,8,7,7,5,6,7,7,7,,,7,7,8,2
"ESS1e06_7",1,"6.7","23.11.2023",17,"BE",1,1.0635808,0.44783992,0.47631392,,,,3,7,2,3,3,7,8,6,6,3,2,6,6,,,6,5,8,4
"ESS1e06_7",1,"6.7","23.11.2023",18,"BE",1,1.0635808,0.44783992,0.47631392,,,,5,3,5,3,2,2,1,5,5,6,7,4,6,,,3,6,7,3
"ESS1e06_7",1,"6.7","23.11.2023",19,"BE",1,1.1732957,0.44783992,0.5254487,,,,5,7,6,7,3,7,6,6,8,6,5,6,7,,,4,6,8,9
"ESS1e06_7",1,"6.7","23.11.2023",20,"BE",1,1.3244808,0.44783992,0.5931554,,,,5,5,0,5,4,88,6,7,99,99,99,99,99,,,0,5,8,7
"ESS1e06_7",1,"6.7","23.11.2023",23,"BE",1,0.9156562,0.44783992,0.4100674,,,,7,7,3,7,3,6,7,7,8,8,6,5,7,,,7,4,8,5
"ESS1e06_7",1,"6.7","23.11.2023",27,"BE",1,4,0.44783992,1.7913597,,,,3,7,7,88,3,5,7,6,88,5,5,3,88,,,8,7,7,4
"ESS1e06_7",1,"6.7","23.11.2023",28,"BE",1,1.4374346,0.44783992,0.6437406,,,,7,5,6,3,2,5,4,4,7,3,2,4,6,,,6,5,7,0
"ESS1e06_7",1,"6.7","23.11.2023",35,"BE",1,2.7069035,0.44783992,1.2122594,,,,9,5,9,3,3,6,8,8,4,3,3,5,5,,,10,10,8,0
"ESS1e06_7",1,"6.7","23.11.2023",36,"BE",1,3.3710086,0.44783992,1.5096722,,,,8,5,7,1,2,6,4,7,4,7,4,7,6,,,7,7,4,0
"ESS1e06_7",1,"6.7","23.11.2023",37,"BE",1,1.3245171,0.44783992,0.59317166,,,,5,0,7,7,2,2,4,5,0,0,0,3,7,,,7,8,2,7
"ESS1e06_7",1,"6.7","23.11.2023",38,"BE",1,1.6971985,0.44783992,0.76007324,,,,7,9,8,7,1,9,7,7,9,9,9,9,9,,,7,9,8,10
"ESS1e06_7",1,"6.7","23.11.2023",39,"BE",1,3.9154885,0.44783992,1.753512,,,,7,6,5,88,3,8,9,8,8,7,7,3,8,,,6,5,8,10
"ESS1e06_7",1,"6.7","23.11.2023",40,"BE",1,2.7069035,0.44783992,1.2122594,,,,5,7,7,5,1,4,2,2,6,2,2,2,4,,,8,7,5,9
"ESS1e06_7",1,"6.7","23.11.2023",44,"BE",1,1.3245171,0.44783992,0.59317166,,,,10,0,6,0,2,8,4,8,8,8,8,8,8,,,8,4,9,0
"ESS1e06_7",1,"6.7","23.11.2023",45,"BE",1,1.3245171,0.44783992,0.59317166,,,,0,2,2,88,3,4,1,4,3,5,0,1,4,,,3,1,5,0
"ESS1e06_7",1,"6.7","23.11.2023",46,"BE",1,1.0635808,0.44783992,0.47631392,,,,2,2,2,3,2,6,1,1,1,2,2,3,3,,,4,2,5,5
"ESS1e06_7",1,"6.7","23.11.2023",47,"BE",1,3.222949,0.44783992,1.4433652,,,,6,4,5,0,2,7,6,6,6,10,8,4,7,,,7,5,7,7
"ESS1e06_7",1,"6.7","23.11.2023",48,"BE",1,1.3628421,0.44783992,0.6103351,,,,2,2,2,7,2,8,5,5,5,1,7,4,3,,,4,4,7,1
"ESS1e06_7",1,"6.7","23.11.2023",49,"BE",1,4,0.44783992,1.7913597,,,,8,3,5,5,3,8,5,3,5,0,0,5,2,,,7,7,7,0
"ESS1e06_7",1,"6.7","23.11.2023",50,"BE",1,4,0.44783992,1.7913597,,,,3,9,3,6,3,7,9,5,7,0,7,3,5,,,5,3,8,8
"ESS1e06_7",1,"6.7","23.11.2023",51,"BE",1,1.1217937,0.44783992,0.502384,,,,7,3,5,5,2,8,8,8,5,5,5,5,3,,,7,5,8,8
"ESS1e06_7",1,"6.7","23.11.2023",52,"BE",1,1.0635808,0.44783992,0.47631392,,,,10,7,10,1,1,7,7,7,7,7,5,6,6,,,6,8,10,0
"ESS1e06_7",1,"6.7","23.11.2023",53,"BE",1,3.0557013,0.44783992,1.368465,,,,7,9,0,3,4,9,9,5,0,5,0,3,10,,,10,5,8,5
"ESS1e06_7",1,"6.7","23.11.2023",55,"BE",1,3.0557013,0.44783992,1.368465,,,,4,5,3,0,4,9,6,88,88,2,2,6,0,,,7,10,8,6
"ESS1e06_7",1,"6.7","23.11.2023",56,"BE",1,3.8053796,0.44783992,1.7042009,,,,4,3,4,3,2,5,1,5,3,2,6,4,5,,,3,3,4,7
"ESS1e06_7",1,"6.7","23.11.2023",57,"BE",1,1.4374346,0.44783992,0.6437406,,,,3,0,7,0,1,1,2,3,3,7,3,2,7,,,8,7,9,8
"ESS1e06_7",1,"6.7","23.11.2023",58,"BE",1,2.1125047,0.44783992,0.94606394,,,,7,3,7,6,2,7,6,8,7,5,7,5,5,,,3,6,8,3
"ESS1e06_7",1,"6.7","23.11.2023",59,"BE",1,3.8053796,0.44783992,1.7042009,,,,3,1,1,3,4,5,5,7,4,2,3,0,1,,,0,0,8,7
"ESS1e06_7",1,"6.7","23.11.2023",60,"BE",1,3.8053796,0.44783992,1.7042009,,,,7,0,5,6,4,1,0,0,0,0,8,0,88,,,5,5,7,8
"ESS1e06_7",1,"6.7","23.11.2023",66,"BE",1,3.0557013,0.44783992,1.368465,,,,5,3,6,4,2,4,6,7,9,9,8,6,7,,,7,5,4,4
"ESS1e06_7",1,"6.7","23.11.2023",67,"BE",1,1.1217937,0.44783992,0.502384,,,,6,4,6,6,3,9,88,7,7,7,7,7,7,,,5,7,9,1
"ESS1e06_7",1,"6.7","23.11.2023",68,"BE",1,1.4374346,0.44783992,0.6437406,,,,9,5,7,4,2,7,8,8,8,8,7,6,8,,,8,7,8,0
"ESS1e06_7",1,"6.7","23.11.2023",70,"BE",1,1.4039099,0.44783992,0.6287269,,,,1,9,2,5,3,10,9,9,88,88,88,88,10,,,88,88,9,10
"ESS1e06_7",1,"6.7","23.11.2023",72,"BE",1,3.0557013,0.44783992,1.368465,,,,6,6,5,4,2,6,4,5,5,3,3,3,5,,,3,3,9,6
"ESS1e06_7",1,"6.7","23.11.2023",73,"BE",1,1.0635808,0.44783992,0.47631392,,,,8,4,4,3,3,5,4,4,5,3,4,4,4,,,5,6,8,6
"ESS1e06_7",1,"6.7","23.11.2023",74,"BE",1,1.0635808,0.44783992,0.47631392,,,,7,5,5,5,2,8,3,5,6,2,5,2,4,,,8,7,7,2
"ESS1e06_7",1,"6.7","23.11.2023",75,"BE",1,1.1217937,0.44783992,0.502384,,,,5,1,7,2,1,88,8,88,10,10,8,8,10,,,9,8,7,7
"ESS1e06_7",1,"6.7","23.11.2023",76,"BE",1,2.8550603,0.44783992,1.27861,,,,10,2,2,10,1,3,10,8,10,8,8,6,8,,,0,4,10,10
"ESS1e06_7",1,"6.7","23.11.2023",77,"BE",1,1.4374346,0.44783992,0.6437406,,,,10,0,0,1,1,10,6,10,10,0,10,6,10,,,0,2,9,10
"ESS1e06_7",1,"6.7","23.11.2023",82,"BE",1,0.86536336,0.44783992,0.38754424,,,,0,2,4,1,1,4,7,7,10,10,2,7,10,,,1,0,8,5
"ESS1e06_7",1,"6.7","23.11.2023",83,"BE",1,1.0635808,0.44783992,0.47631392,,,,4,2,6,3,4,6,5,6,5,5,5,3,6,,,3,4,10,7
"ESS1e06_7",1,"6.7","23.11.2023",84,"BE",1,3.3710086,0.44783992,1.5096722,,,,4,4,8,5,4,2,9,4,9,5,9,8,88,,,5,3,7,9
"ESS1e06_7",1,"6.7","23.11.2023",85,"BE",1,1.6971985,0.44783992,0.76007324,,,,9,7,9,6,2,6,8,6,8,6,6,6,9,,,9,8,10,3
"ESS1e06_7",1,"6.7","23.11.2023",86,"BE",1,2.2281284,0.44783992,0.9978449,,,,4,2,2,4,2,3,2,4,2,5,5,1,3,,,7,8,8,0
"ESS1e06_7",1,"6.7","23.11.2023",87,"BE",1,3.9154885,0.44783992,1.753512,,,,10,5,5,88,1,10,10,10,10,10,10,10,10,,,9,5,10,10
"ESS1e06_7",1,"6.7","23.11.2023",88,"BE",1,1.1732957,0.44783992,0.5254487,,,,3,0,1,0,4,2,0,6,7,6,3,5,6,,,0,0,10,0
"ESS1e06_7",1,"6.7","23.11.2023",89,"BE",1,1.3244808,0.44783992,0.5931554,,,,8,7,3,4,3,7,7,9,7,7,8,6,7,,,2,7,7,7
"ESS1e06_7",1,"6.7","23.11.2023",90,"BE",1,3.9154885,0.44783992,1.753512,,,,6,6,6,5,3,3,5,88,88,4,5,5,88,,,1,2,9,0
"ESS1e06_7",1,"6.7","23.11.2023",91,"BE",1,2.8550603,0.44783992,1.27861,,,,7,9,7,9,2,10,6,8,7,6,5,8,9,,,7,7,8,0
"ESS1e06_7",1,"6.7","23.11.2023",92,"BE",1,1.3628421,0.44783992,0.6103351,,,,4,4,1,4,2,6,4,5,4,3,4,3,8,,,7,4,3,10
"ESS1e06_7",1,"6.7","23.11.2023",93,"BE",1,2.2281284,0.44783992,0.9978449,,,,1,6,0,5,3,2,6,2,5,2,1,4,5,,,0,6,3,2
"ESS1e06_7",1,"6.7","23.11.2023",94,"BE",1,1.1732957,0.44783992,0.5254487,,,,6,3,5,6,2,6,6,6,6,5,7,6,8,,,3,4,8,8
"ESS1e06_7",1,"6.7","23.11.2023",95,"BE",1,4,0.44783992,1.7913597,,,,8,1,7,5,3,8,8,7,8,6,7,6,8,,,3,5,7,5
"ESS1e06_7",1,"6.7","23.11.2023",96,"BE",1,1.3245171,0.44783992,0.59317166,,,,10,0,6,0,1,8,5,7,8,8,7,7,8,,,8,5,8,0
"ESS1e06_7",1,"6.7","23.11.2023",97,"BE",1,1.3628421,0.44783992,0.6103351,,,,4,2,6,4,1,1,2,1,3,2,2,1,2,,,7,5,6,3
"ESS1e06_7",1,"6.7","23.11.2023",98,"BE",1,1.3244808,0.44783992,0.5931554,,,,6,4,7,3,3,5,6,6,5,5,7,4,6,,,4,6,10,5
"ESS1e06_7",1,"6.7","23.11.2023",99,"BE",1,0.9156562,0.44783992,0.4100674,,,,8,8,8,88,3,5,7,7,4,5,7,4,4,,,5,4,8,6
"ESS1e06_7",1,"6.7","23.11.2023",100,"BE",1,0.46100459,0.44783992,0.20645626,,,,5,5,7,5,1,0,88,6,0,6,5,2,3,,,5,4,10,0
"ESS1e06_7",1,"6.7","23.11.2023",101,"BE",1,0.46100459,0.44783992,0.20645626,,,,99,4,7,99,1,8,3,8,6,7,5,7,8,,,5,5,9,0
"ESS1e06_7",1,"6.7","23.11.2023",102,"BE",1,0.46100459,0.44783992,0.20645626,,,,5,5,5,4,2,5,6,6,4,8,7,5,7,,,3,4,8,10
"ESS1e06_7",1,"6.7","23.11.2023",103,"BE",1,0.46100459,0.44783992,0.20645626,,,,5,3,3,6,3,7,7,7,7,5,5,6,7,,,5,3,10,2
"ESS1e06_7",1,"6.7","23.11.2023",104,"BE",1,3.222949,0.44783992,1.4433652,,,,6,2,6,4,4,8,3,6,6,6,8,5,88,,,4,5,8,2
"ESS1e06_7",1,"6.7","23.11.2023",105,"BE",1,3.8053796,0.44783992,1.7042009,,,,0,1,1,88,4,88,88,4,0,2,10,0,5,,,88,88,10,5
"ESS1e06_7",1,"6.7","23.11.2023",106,"BE",1,0.86536336,0.44783992,0.38754424,,,,4,2,6,5,3,7,7,5,4,7,4,5,6,,,7,5,88,6
"ESS1e06_7",1,"6.7","23.11.2023",107,"BE",1,1.3245171,0.44783992,0.59317166,,,,0,0,0,8,4,88,88,88,88,0,0,88,88,,,88,5,7,3
"ESS1e06_7",1,"6.7","23.11.2023",108,"BE",1,4,0.44783992,1.7913597,,,,5,8,0,5,4,5,5,5,2,5,5,2,5,,,5,5,5,5
"ESS1e06_7",1,"6.7","23.11.2023",109,"BE",1,2.6307817,0.44783992,1.178169,,,,5,5,0,5,2,7,7,8,5,5,5,5,7,,,6,6,7,5
"ESS1e06_7",1,"6.7","23.11.2023",110,"BE",1,1.0635808,0.44783992,0.47631392,,,,8,5,7,5,3,7,7,6,6,6,8,6,7,,,8,7,7,8
"ESS1e06_7",1,"6.7","23.11.2023",111,"BE",1,1.0635808,0.44783992,0.47631392,,,,5,8,8,5,3,9,8,9,8,5,9,5,7,,,8,5,10,10
"ESS1e06_7",1,"6.7","23.11.2023",112,"BE",1,1.3628421,0.44783992,0.6103351,,,,3,3,1,4,1,7,5,5,3,3,5,3,8,,,6,5,4,0
"ESS1e06_7",1,"6.7","23.11.2023",113,"BE",1,1.1217937,0.44783992,0.502384,,,,4,6,4,7,3,8,3,88,7,4,7,3,6,,,7,88,7,4
"ESS1e06_7",1,"6.7","23.11.2023",114,"BE",1,1.1217937,0.44783992,0.502384,,,,5,4,5,4,2,5,7,88,88,2,4,5,88,,,5,8,8,5
"ESS1e06_7",1,"6.7","23.11.2023",115,"BE",1,1.4374346,0.44783992,0.6437406,,,,7,4,3,6,2,6,6,7,7,6,7,4,7,,,4,4,8,7
"ESS1e06_7",1,"6.7","23.11.2023",116,"BE",1,2.2281284,0.44783992,0.9978449,,,,3,3,2,4,2,2,3,3,3,4,4,2,3,,,6,9,7,3
"ESS1e06_7",1,"6.7","23.11.2023",117,"BE",1,1.7724454,0.44783992,0.7937718,,,,5,4,2,5,4,5,5,5,0,5,2,0,5,,,1,3,7,0
"ESS1e06_7",1,"6.7","23.11.2023",118,"BE",1,0.7623052,0.44783992,0.3413907,,,,2,2,2,6,1,6,7,7,8,5,7,6,7,,,5,3,10,10
"ESS1e06_7",1,"6.7","23.11.2023",119,"BE",1,0.7395307,0.44783992,0.33119136,,,,7,88,8,5,2,7,7,7,7,8,8,8,8,,,88,5,9,3
"ESS1e06_7",1,"6.7","23.11.2023",120,"BE",1,0.7623052,0.44783992,0.3413907,,,,6,3,7,7,2,6,6,8,7,5,6,7,9,,,5,6,8,7
"ESS1e06_7",1,"6.7","23.11.2023",121,"BE",1,0.84815353,0.44783992,0.379837,,,,5,3,4,6,3,6,4,7,7,5,10,5,5,,,7,7,9,88
"ESS1e06_7",1,"6.7","23.11.2023",122,"BE",1,1.524485,0.44783992,0.68272525,,,,88,2,1,3,3,3,2,5,88,1,5,4,3,,,4,5,5,10
"ESS1e06_7",1,"6.7","23.11.2023",123,"BE",1,0.73199636,0.44783992,0.3278172,,,,8,5,7,6,2,7,5,5,5,7,7,2,8,,,5,5,8,88
"ESS1e06_7",1,"6.7","23.11.2023",124,"BE",1,0.8228142,0.44783992,0.36848906,,,,7,4,7,4,2,4,4,3,88,5,5,3,88,,,5,5,8,7
"ESS1e06_7",1,"6.7","23.11.2023",125,"BE",1,0.94690025,0.44783992,0.42405972,,,,6,0,5,8,2,7,0,7,5,0,5,0,0,,,1,3,7,0
"ESS1e06_7",1,"6.7","23.11.2023",126,"BE",1,0.76032937,0.44783992,0.34050584,,,,7,3,7,7,3,6,7,6,6,5,6,5,6,,,3,5,9,0
"ESS1e06_7",1,"6.7","23.11.2023",127,"BE",1,0.98441404,0.44783992,0.4408599,,,,7,1,7,3,3,6,5,4,6,7,8,4,5,,,3,5,8,5
"ESS1e06_7",1,"6.7","23.11.2023",128,"BE",1,0.94690025,0.44783992,0.42405972,,,,8,8,9,1,1,7,3,4,1,1,1,1,4,,,9,5,10,6
"ESS1e06_7",1,"6.7","23.11.2023",129,"BE",1,0.8228142,0.44783992,0.36848906,,,,7,4,7,5,3,7,8,6,7,8,8,7,8,,,5,5,9,88
"ESS1e06_7",1,"6.7","23.11.2023",130,"BE",1,0.73199636,0.44783992,0.3278172,,,,6,2,3,6,2,7,6,3,7,7,7,4,7,,,7,7,9,8
"ESS1e06_7",1,"6.7","23.11.2023",131,"BE",1,0.81443137,0.44783992,0.3647349,,,,5,4,0,10,2,4,5,5,0,0,5,3,7,,,5,2,8,5
"ESS1e06_7",1,"6.7","23.11.2023",132,"BE",1,0.84595513,0.44783992,0.3788525,,,,7,5,7,88,3,3,4,4,3,2,6,3,3,,,1,3,6,0
"ESS1e06_7",1,"6.7","23.11.2023",133,"BE",1,1.4827831,0.44783992,0.66404945,,,,3,10,0,88,4,4,3,88,0,1,4,0,0,,,3,5,9,0
"ESS1e06_7",1,"6.7","23.11.2023",134,"BE",1,0.7119728,0.44783992,0.31884983,,,,8,7,8,3,2,6,6,88,4,3,4,5,6,,,88,5,7,8
"ESS1e06_7",1,"6.7","23.11.2023",135,"BE",1,0.7623052,0.44783992,0.3413907,,,,6,5,6,3,4,7,8,88,3,5,5,2,4,,,6,5,8,6
"ESS1e06_7",1,"6.7","23.11.2023",136,"BE",1,0.7119728,0.44783992,0.31884983,,,,6,6,7,6,3,6,6,6,7,7,7,7,7,,,5,5,7,6
"ESS1e06_7",1,"6.7","23.11.2023",137,"BE",1,1.8222939,0.44783992,0.81609595,,,,3,88,0,88,4,88,88,2,0,0,0,0,0,,,1,3,7,8
"ESS1e06_7",1,"6.7","23.11.2023",138,"BE",1,0.7414525,0.44783992,0.33205202,,,,88,5,4,5,3,1,3,3,6,4,6,4,6,,,5,5,7,7
"ESS1e06_7",1,"6.7","23.11.2023",139,"BE",1,1.5441788,0.44783992,0.69154495,,,,2,1,2,4,3,4,5,5,8,4,9,4,8,,,4,4,6,7
"ESS1e06_7",1,"6.7","23.11.2023",140,"BE",1,1.5441788,0.44783992,0.69154495,,,,0,0,0,2,4,3,2,2,4,1,4,3,3,,,88,3,2,4
"ESS1e06_7",1,"6.7","23.11.2023",141,"BE",1,1.0251744,0.44783992,0.45911402,,,,0,0,0,4,3,6,2,2,5,7,8,1,8,,,1,1,0,5
"ESS1e06_7",1,"6.7","23.11.2023",142,"BE",1,0.76032937,0.44783992,0.34050584,,,,6,6,6,6,2,8,8,8,7,7,7,6,7,,,5,5,8,2
"ESS1e06_7",1,"6.7","23.11.2023",143,"BE",1,1.5834925,0.44783992,0.70915115,,,,2,2,6,1,3,4,1,4,3,1,1,1,3,,,5,2,6,2
"ESS1e06_7",1,"6.7","23.11.2023",144,"BE",1,0.7414525,0.44783992,0.33205202,,,,6,4,5,4,3,5,7,7,7,5,5,5,7,,,5,5,7,5
"ESS1e06_7",1,"6.7","23.11.2023",145,"BE",1,0.7623052,0.44783992,0.3413907,,,,4,6,4,7,3,7,7,7,7,6,7,7,7,,,6,88,7,7
"ESS1e06_7",1,"6.7","23.11.2023",146,"BE",1,0.84815353,0.44783992,0.379837,,,,1,1,1,2,3,6,5,6,5,1,2,2,5,,,4,4,6,0
"ESS1e06_7",1,"6.7","23.11.2023",147,"BE",1,0.8749922,0.44783992,0.39185643,,,,5,3,0,99,2,8,8,8,8,5,8,3,5,,,5,5,8,9
"ESS1e06_7",1,"6.7","23.11.2023",148,"BE",1,1.4827831,0.44783992,0.66404945,,,,5,5,7,5,3,5,5,5,5,3,5,5,5,,,5,5,10,8
"ESS1e06_7",1,"6.7","23.11.2023",149,"BE",1,0.84595513,0.44783992,0.3788525,,,,7,8,7,9,1,9,6,7,7,7,6,7,9,,,7,7,8,6
"ESS1e06_7",1,"6.7","23.11.2023",150,"BE",1,1.7724454,0.44783992,0.7937718,,,,5,3,8,88,2,5,0,0,88,10,5,5,4,,,0,0,0,10
"ESS1e06_7",1,"6.7","23.11.2023",151,"BE",1,0.97353095,0.44783992,0.435986,,,,7,88,5,88,3,5,8,6,88,5,5,5,5,,,3,5,7,5
"ESS1e06_7",1,"6.7","23.11.2023",152,"BE",1,0.81443137,0.44783992,0.3647349,,,,8,6,6,6,3,5,7,7,7,6,6,6,5,,,2,1,7,6
"ESS1e06_7",1,"6.7","23.11.2023",153,"BE",1,1.4827831,0.44783992,0.66404945,,,,5,3,6,88,3,8,4,3,3,2,4,2,3,,,0,0,9,8
"ESS1e06_7",1,"6.7","23.11.2023",154,"BE",1,0.7395307,0.44783992,0.33119136,,,,5,7,5,8,3,7,3,5,5,3,7,3,5,,,5,5,10,5
"ESS1e06_7",1,"6.7","23.11.2023",155,"BE",1,0.8749922,0.44783992,0.39185643,,,,7,5,5,6,2,6,7,7,4,6,7,4,4,,,8,6,9,7
"ESS1e06_7",1,"6.7","23.11.2023",156,"BE",1,0.7119728,0.44783992,0.31884983,,,,5,5,5,5,2,3,5,5,6,0,2,4,5,,,7,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",157,"BE",1,0.7414525,0.44783992,0.33205202,,,,6,1,7,7,4,1,3,0,4,0,5,1,3,,,3,3,8,0
"ESS1e06_7",1,"6.7","23.11.2023",158,"BE",1,0.8249525,0.44783992,0.36944667,,,,5,3,5,6,2,5,4,4,6,6,7,5,88,,,3,3,8,3
"ESS1e06_7",1,"6.7","23.11.2023",159,"BE",1,0.73199636,0.44783992,0.3278172,,,,0,5,0,7,2,10,8,8,7,7,9,0,7,,,7,5,10,0
"ESS1e06_7",1,"6.7","23.11.2023",160,"BE",1,0.84595513,0.44783992,0.3788525,,,,5,7,3,4,2,6,5,5,5,8,8,5,5,,,6,5,8,1
"ESS1e06_7",1,"6.7","23.11.2023",161,"BE",1,0.84595513,0.44783992,0.3788525,,,,6,4,6,5,3,6,6,6,7,6,7,5,6,,,5,5,10,6
"ESS1e06_7",1,"6.7","23.11.2023",162,"BE",1,0.8749922,0.44783992,0.39185643,,,,9,5,7,8,2,6,6,7,6,3,4,4,6,,,5,4,8,9
"ESS1e06_7",1,"6.7","23.11.2023",163,"BE",1,0.84595513,0.44783992,0.3788525,,,,7,3,5,88,3,6,7,7,5,3,3,5,7,,,88,7,9,6
"ESS1e06_7",1,"6.7","23.11.2023",164,"BE",1,0.851057,0.44783992,0.38113728,,,,0,0,7,7,2,5,1,5,5,3,5,2,5,,,5,5,6,9
"ESS1e06_7",1,"6.7","23.11.2023",165,"BE",1,1.7724454,0.44783992,0.7937718,,,,5,5,5,0,3,5,5,5,5,5,5,5,5,,,5,4,5,5
"ESS1e06_7",1,"6.7","23.11.2023",166,"BE",1,0.84595513,0.44783992,0.3788525,,,,5,4,5,5,2,5,4,6,5,0,3,4,6,,,4,5,7,4
"ESS1e06_7",1,"6.7","23.11.2023",167,"BE",1,0.8228142,0.44783992,0.36848906,,,,5,0,1,88,3,8,4,4,8,8,8,5,5,,,5,5,7,10
"ESS1e06_7",1,"6.7","23.11.2023",168,"BE",1,0.7395307,0.44783992,0.33119136,,,,5,5,4,5,2,7,5,6,5,6,5,4,6,,,88,5,10,6
"ESS1e06_7",1,"6.7","23.11.2023",169,"BE",1,1.7724454,0.44783992,0.7937718,,,,1,1,1,5,3,4,5,5,88,1,6,2,1,,,0,0,5,5
"ESS1e06_7",1,"6.7","23.11.2023",170,"BE",1,0.81443137,0.44783992,0.3647349,,,,2,2,4,5,4,3,3,4,3,5,5,3,4,,,3,5,6,5
"ESS1e06_7",1,"6.7","23.11.2023",171,"BE",1,0.7921528,0.44783992,0.35475767,,,,6,2,3,6,2,2,3,5,7,2,8,1,6,,,4,5,7,3
"ESS1e06_7",1,"6.7","23.11.2023",173,"BE",1,0.73199636,0.44783992,0.3278172,,,,7,2,7,3,1,9,7,7,9,6,7,7,8,,,7,7,7,5
"ESS1e06_7",1,"6.7","23.11.2023",174,"BE",1,1.5401764,0.44783992,0.68975246,,,,2,1,0,5,4,0,0,1,1,0,3,0,1,,,0,0,3,7
"ESS1e06_7",1,"6.7","23.11.2023",175,"BE",1,0.851057,0.44783992,0.38113728,,,,7,4,6,5,2,5,6,6,7,4,5,5,7,,,5,5,5,8
"ESS1e06_7",1,"6.7","23.11.2023",176,"BE",1,0.8228142,0.44783992,0.36848906,,,,6,4,8,5,4,7,8,6,7,8,9,6,9,,,4,4,8,8
"ESS1e06_7",1,"6.7","23.11.2023",177,"BE",1,1.5401764,0.44783992,0.68975246,,,,5,4,6,88,3,6,7,7,8,7,7,6,7,,,7,7,10,10
"ESS1e06_7",1,"6.7","23.11.2023",178,"BE",1,1.4827831,0.44783992,0.66404945,,,,7,4,3,88,3,5,4,6,5,6,9,5,4,,,5,5,8,6
