"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplfair","pplhlp","ppltrst","lawobey","lrscale","polintr","stfdem","stfeco","stfgov","trstlgl","trstplc","trstplt","trstprl","trstprt","trstsci","imbgeco","imwbcnt","happy","rlgdgr"
"ESS1e06_7",1,"6.7","23.11.2023",2,"HU",1,1.1564966,0.4795629,0.5546129,,,,6,5,7,1,8,2,6,5,4,5,5,6,7,,,5,5,8,5
"ESS1e06_7",1,"6.7","23.11.2023",3,"HU",1,1.0112435,0.4795629,0.48495486,,,,6,4,6,2,6,3,6,4,4,4,3,4,8,,,3,7,7,5
"ESS1e06_7",1,"6.7","23.11.2023",4,"HU",1,1.268207,0.4795629,0.608185,,,,8,7,5,3,8,3,6,6,6,5,5,5,5,,,3,3,9,1
"ESS1e06_7",1,"6.7","23.11.2023",5,"HU",1,1.0489113,0.4795629,0.503019,,,,0,2,1,1,10,4,0,2,0,0,1,0,4,,,8,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",6,"HU",1,1.2341565,0.4795629,0.5918557,,,,8,7,5,1,7,3,5,4,5,3,4,2,3,,,0,0,9,8
"ESS1e06_7",1,"6.7","23.11.2023",7,"HU",1,1.2360123,0.4795629,0.59274566,,,,4,4,4,1,88,3,6,8,5,10,10,4,6,,,0,0,5,4
"ESS1e06_7",1,"6.7","23.11.2023",8,"HU",1,1.2360123,0.4795629,0.59274566,,,,2,1,1,1,4,3,6,5,4,5,8,5,5,,,0,0,7,1
"ESS1e06_7",1,"6.7","23.11.2023",9,"HU",1,1.2360123,0.4795629,0.59274566,,,,5,1,0,1,0,3,5,3,6,6,6,7,5,,,4,8,5,2
"ESS1e06_7",1,"6.7","23.11.2023",11,"HU",1,0.7879744,0.4795629,0.37788332,,,,2,3,3,1,8,2,2,5,3,4,2,2,4,,,3,4,7,9
"ESS1e06_7",1,"6.7","23.11.2023",12,"HU",1,0.9556288,0.4795629,0.45828414,,,,3,0,0,1,88,3,7,5,5,7,3,5,6,,,0,5,5,3
"ESS1e06_7",1,"6.7","23.11.2023",14,"HU",1,1.0694033,0.4795629,0.5128462,,,,88,3,3,1,88,4,7,5,5,88,88,88,88,,,5,88,4,8
"ESS1e06_7",1,"6.7","23.11.2023",15,"HU",1,0.63714856,0.4795629,0.3055528,,,,5,2,9,1,3,4,8,4,7,7,7,6,7,,,88,6,5,3
"ESS1e06_7",1,"6.7","23.11.2023",16,"HU",1,0.63714856,0.4795629,0.3055528,,,,5,7,5,1,3,1,7,5,6,3,3,3,5,,,5,88,5,4
"ESS1e06_7",1,"6.7","23.11.2023",18,"HU",1,0.63714856,0.4795629,0.3055528,,,,3,1,3,1,2,3,9,88,9,3,5,4,3,,,5,5,5,3
"ESS1e06_7",1,"6.7","23.11.2023",20,"HU",1,0.9556288,0.4795629,0.45828414,,,,5,5,5,1,3,3,9,7,9,9,9,8,9,,,6,4,5,3
"ESS1e06_7",1,"6.7","23.11.2023",21,"HU",1,1.1564966,0.4795629,0.5546129,,,,2,2,1,1,77,2,5,3,88,5,5,7,5,,,5,8,7,7
"ESS1e06_7",1,"6.7","23.11.2023",22,"HU",1,1.1564966,0.4795629,0.5546129,,,,1,1,1,1,0,2,3,2,88,3,4,1,4,,,7,88,5,0
"ESS1e06_7",1,"6.7","23.11.2023",23,"HU",1,0.9708695,0.4795629,0.46559298,,,,3,6,3,1,88,4,8,4,5,88,6,88,88,,,5,4,4,2
"ESS1e06_7",1,"6.7","23.11.2023",25,"HU",1,1.1564966,0.4795629,0.5546129,,,,0,0,2,1,1,2,3,3,5,0,0,0,0,,,88,6,8,7
"ESS1e06_7",1,"6.7","23.11.2023",26,"HU",1,0.9556288,0.4795629,0.45828414,,,,8,9,4,2,88,4,9,5,9,8,6,2,88,,,5,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",27,"HU",1,1.268207,0.4795629,0.608185,,,,5,5,5,1,7,2,8,88,88,5,6,4,5,,,6,88,9,8
"ESS1e06_7",1,"6.7","23.11.2023",30,"HU",1,1.2341565,0.4795629,0.5918557,,,,5,3,5,1,3,2,9,8,8,8,7,7,8,,,4,4,6,1
"ESS1e06_7",1,"6.7","23.11.2023",31,"HU",1,0.9556288,0.4795629,0.45828414,,,,4,5,3,1,2,2,8,7,8,9,9,9,9,,,4,88,7,2
"ESS1e06_7",1,"6.7","23.11.2023",32,"HU",1,0.9556288,0.4795629,0.45828414,,,,10,10,10,1,77,3,7,7,7,8,8,7,8,,,5,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",37,"HU",1,1.0694033,0.4795629,0.5128462,,,,7,7,7,1,88,4,7,5,7,8,8,88,7,,,5,88,5,7
"ESS1e06_7",1,"6.7","23.11.2023",39,"HU",1,1.2360123,0.4795629,0.59274566,,,,5,3,1,2,7,3,5,4,5,6,7,5,5,,,88,5,6,3
"ESS1e06_7",1,"6.7","23.11.2023",40,"HU",1,1.2272222,0.4795629,0.58853024,,,,5,5,5,1,5,3,5,3,3,2,3,3,3,,,0,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",41,"HU",1,1.1942722,0.4795629,0.57272863,,,,7,2,5,1,5,3,4,3,3,4,4,4,4,,,3,3,8,1
"ESS1e06_7",1,"6.7","23.11.2023",42,"HU",1,1.0150137,0.4795629,0.4867629,,,,9,8,5,1,5,3,5,5,5,5,5,5,5,,,5,5,5,0
"ESS1e06_7",1,"6.7","23.11.2023",44,"HU",1,1.0348433,0.4795629,0.49627247,,,,10,5,10,1,3,4,5,5,10,10,5,10,10,,,4,1,5,5
"ESS1e06_7",1,"6.7","23.11.2023",45,"HU",1,1.0348433,0.4795629,0.49627247,,,,6,2,5,1,88,3,7,5,88,5,5,0,5,,,88,88,10,5
"ESS1e06_7",1,"6.7","23.11.2023",46,"HU",1,1.1960682,0.4795629,0.5735899,,,,9,5,8,1,5,1,8,3,10,5,10,8,8,,,88,88,3,3
