"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplhlp","ppltrst","lawobey","lrscale","stfgov","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstun","trstsci","happy"
"ESS1e06_7",1,"6.7","23.11.2023",2,"HU",1,1.1564966,0.4795629,0.5546129,,,,5,7,1,8,4,8,5,5,6,7,,8,,8
"ESS1e06_7",1,"6.7","23.11.2023",3,"HU",1,1.0112435,0.4795629,0.48495486,,,,4,6,2,6,4,8,4,3,4,8,,9,,7
"ESS1e06_7",1,"6.7","23.11.2023",4,"HU",1,1.268207,0.4795629,0.608185,,,,7,5,3,8,6,6,5,5,5,5,,6,,9
"ESS1e06_7",1,"6.7","23.11.2023",5,"HU",1,1.0489113,0.4795629,0.503019,,,,2,1,1,10,0,0,0,1,0,4,,3,,5
"ESS1e06_7",1,"6.7","23.11.2023",6,"HU",1,1.2341565,0.4795629,0.5918557,,,,7,5,1,7,5,5,3,4,2,3,,5,,9
"ESS1e06_7",1,"6.7","23.11.2023",7,"HU",1,1.2360123,0.4795629,0.59274566,,,,4,4,1,88,5,88,10,10,4,6,,88,,5
"ESS1e06_7",1,"6.7","23.11.2023",8,"HU",1,1.2360123,0.4795629,0.59274566,,,,1,1,1,4,4,88,5,8,5,5,,88,,7
"ESS1e06_7",1,"6.7","23.11.2023",9,"HU",1,1.2360123,0.4795629,0.59274566,,,,1,0,1,0,6,10,6,6,7,5,,10,,5
"ESS1e06_7",1,"6.7","23.11.2023",11,"HU",1,0.7879744,0.4795629,0.37788332,,,,3,3,1,8,3,3,4,2,2,4,,3,,7
"ESS1e06_7",1,"6.7","23.11.2023",12,"HU",1,0.9556288,0.4795629,0.45828414,,,,0,0,1,88,5,5,7,3,5,6,,10,,5
"ESS1e06_7",1,"6.7","23.11.2023",14,"HU",1,1.0694033,0.4795629,0.5128462,,,,3,3,1,88,5,88,88,88,88,88,,88,,4
"ESS1e06_7",1,"6.7","23.11.2023",15,"HU",1,0.63714856,0.4795629,0.3055528,,,,2,9,1,3,7,8,7,7,6,7,,8,,5
"ESS1e06_7",1,"6.7","23.11.2023",16,"HU",1,0.63714856,0.4795629,0.3055528,,,,7,5,1,3,6,8,3,3,3,5,,8,,5
"ESS1e06_7",1,"6.7","23.11.2023",18,"HU",1,0.63714856,0.4795629,0.3055528,,,,1,3,1,2,9,7,3,5,4,3,,7,,5
"ESS1e06_7",1,"6.7","23.11.2023",20,"HU",1,0.9556288,0.4795629,0.45828414,,,,5,5,1,3,9,9,9,9,8,9,,10,,5
"ESS1e06_7",1,"6.7","23.11.2023",21,"HU",1,1.1564966,0.4795629,0.5546129,,,,2,1,1,77,88,5,5,5,7,5,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",22,"HU",1,1.1564966,0.4795629,0.5546129,,,,1,1,1,0,88,3,3,4,1,4,,3,,5
"ESS1e06_7",1,"6.7","23.11.2023",23,"HU",1,0.9708695,0.4795629,0.46559298,,,,6,3,1,88,5,7,88,6,88,88,,7,,4
"ESS1e06_7",1,"6.7","23.11.2023",25,"HU",1,1.1564966,0.4795629,0.5546129,,,,0,2,1,1,5,0,0,0,0,0,,9,,8
