"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplhlp","ppltrst","lawobey","lrscale","stfgov","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstun","trstsci","happy"
"ESS1e06_7",1,"6.7","23.11.2023",3019500,"IT",0.9855,0.885847,4.067886,3.6035244,,,,5,5,1,7,4,4,5,4,4,5,,4,,9
"ESS1e06_7",1,"6.7","23.11.2023",3019700,"IT",0.9855,1.6987953,4.067886,6.9105053,,,,3,5,1,5,5,4,3,2,4,4,,4,,7
"ESS1e06_7",1,"6.7","23.11.2023",3020300,"IT",0.9855,1.1289628,4.067886,4.5924916,,,,0,5,1,10,6,1,1,1,1,1,,1,,7
"ESS1e06_7",1,"6.7","23.11.2023",3020400,"IT",1.4783,1.0827428,4.067886,4.4044743,,,,6,5,1,7,3,6,6,9,3,4,,7,,9
"ESS1e06_7",1,"6.7","23.11.2023",3024500,"IT",1.3099,2.104894,4.067886,8.562469,,,,5,0,1,5,5,0,5,8,0,0,,8,,5
"ESS1e06_7",1,"6.7","23.11.2023",3024800,"IT",1.3099,1.5592314,4.067886,6.3427753,,,,7,5,1,6,5,6,9,10,4,4,,8,,6
"ESS1e06_7",1,"6.7","23.11.2023",3025200,"IT",1.3099,2.0473614,4.067886,8.328432,,,,7,2,2,5,8,7,8,9,7,6,,9,,5
"ESS1e06_7",1,"6.7","23.11.2023",3025300,"IT",1.3099,1.5592314,4.067886,6.3427753,,,,4,5,3,5,1,5,3,3,4,4,,5,,5
"ESS1e06_7",1,"6.7","23.11.2023",3025800,"IT",1.7465,1.279179,4.067886,5.203554,,,,6,7,2,88,8,9,8,9,7,8,,9,,7
"ESS1e06_7",1,"6.7","23.11.2023",3025900,"IT",1.7465,1.279179,4.067886,5.203554,,,,7,9,2,8,8,8,9,10,8,8,,8,,9
"ESS1e06_7",1,"6.7","23.11.2023",3026100,"IT",1.3099,1.8403295,4.067886,7.4862504,,,,5,6,2,2,2,4,0,7,2,2,,4,,7
"ESS1e06_7",1,"6.7","23.11.2023",3026200,"IT",0.9856,1.5837724,4.067886,6.4426055,,,,7,5,1,8,5,5,6,5,6,3,,6,,8
"ESS1e06_7",1,"6.7","23.11.2023",3026300,"IT",0.9856,0.9625514,4.067886,3.9155493,,,,7,3,2,0,7,6,5,5,5,4,,5,,5
"ESS1e06_7",1,"6.7","23.11.2023",3026500,"IT",2.6197,2.5584376,4.067886,10.407433,,,,7,5,2,2,4,7,88,6,6,6,,7,,8
"ESS1e06_7",1,"6.7","23.11.2023",3029300,"IT",3.9936,4.018967,4.067886,16.3487,,,,0,1,1,88,3,6,0,6,0,5,,4,,8
"ESS1e06_7",1,"6.7","23.11.2023",3029400,"IT",4,4.018967,4.067886,16.3487,,,,3,3,1,5,7,88,4,7,4,6,,6,,9
"ESS1e06_7",1,"6.7","23.11.2023",3029500,"IT",3.9936,2.9250095,4.067886,11.898604,,,,5,10,2,0,5,88,5,10,5,4,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",3029600,"IT",4,2.929697,4.067886,11.917673,,,,5,5,2,9,8,5,4,7,5,5,,6,,10
"ESS1e06_7",1,"6.7","23.11.2023",3031000,"IT",4,2.929697,4.067886,11.917673,,,,8,7,1,88,7,7,0,8,3,6,,8,,10
"ESS1e06_7",1,"6.7","23.11.2023",3031100,"IT",3.9936,4.018967,4.067886,16.3487,,,,0,3,5,5,88,8,0,8,4,0,,88,,6
"ESS1e06_7",1,"6.7","23.11.2023",3034100,"IT",0.986,0.96294206,4.067886,3.9171383,,,,7,6,1,9,6,6,5,6,2,5,,4,,6
"ESS1e06_7",1,"6.7","23.11.2023",3034200,"IT",0.986,1.0875543,4.067886,4.424047,,,,5,6,2,7,6,5,7,8,5,6,,5,,6
"ESS1e06_7",1,"6.7","23.11.2023",3034300,"IT",0.986,1.1565002,4.067886,4.7045107,,,,6,5,1,10,7,7,5,7,6,7,,7,,7
"ESS1e06_7",1,"6.7","23.11.2023",3034400,"IT",0.986,0.96294206,4.067886,3.9171383,,,,5,5,3,5,4,6,7,8,4,7,,8,,4
"ESS1e06_7",1,"6.7","23.11.2023",3034500,"IT",0.986,1.173679,4.067886,4.774392,,,,3,3,2,10,7,8,8,9,7,8,,8,,6
"ESS1e06_7",1,"6.7","23.11.2023",3034600,"IT",0.986,0.96294206,4.067886,3.9171383,,,,3,5,1,7,5,10,9,10,6,8,,10,,6
"ESS1e06_7",1,"6.7","23.11.2023",3034700,"IT",0.986,1.173679,4.067886,4.774392,,,,3,2,2,3,3,4,5,7,3,6,,7,,8
"ESS1e06_7",1,"6.7","23.11.2023",3034800,"IT",0.986,1.1565002,4.067886,4.7045107,,,,5,7,1,8,5,8,8,10,7,9,,8,,4
"ESS1e06_7",1,"6.7","23.11.2023",3034900,"IT",0.986,0.96294206,4.067886,3.9171383,,,,5,5,2,5,3,3,2,5,3,2,,3,,8
"ESS1e06_7",1,"6.7","23.11.2023",3035000,"IT",0.986,1.0321091,4.067886,4.198502,,,,5,5,1,7,6,8,7,9,6,8,,8,,7
"ESS1e06_7",1,"6.7","23.11.2023",3035100,"IT",0.986,0.72217035,4.067886,2.9377065,,,,7,7,1,9,9,7,6,7,7,9,,10,,6
"ESS1e06_7",1,"6.7","23.11.2023",3035200,"IT",0.986,0.72217035,4.067886,2.9377065,,,,5,6,1,3,4,6,6,8,7,6,,6,,8
"ESS1e06_7",1,"6.7","23.11.2023",3036600,"IT",0.986,1.5844152,4.067886,6.44522,,,,0,0,2,3,4,2,4,7,2,4,,2,,5
"ESS1e06_7",1,"6.7","23.11.2023",3036700,"IT",0.986,1.3852699,4.067886,5.63512,,,,6,5,2,10,7,7,6,8,7,7,,7,,7
"ESS1e06_7",1,"6.7","23.11.2023",3036900,"IT",0.9911,1.3924351,4.067886,5.664267,,,,4,5,2,8,5,5,6,7,6,8,,7,,2
"ESS1e06_7",1,"6.7","23.11.2023",3037100,"IT",0.9911,1.3924351,4.067886,5.664267,,,,5,4,2,7,6,5,6,7,3,5,,6,,6
"ESS1e06_7",1,"6.7","23.11.2023",3037200,"IT",0.986,1.1295356,4.067886,4.594822,,,,5,5,2,6,7,5,7,9,7,8,,4,,7
"ESS1e06_7",1,"6.7","23.11.2023",3039000,"IT",0.9931,1.5958242,4.067886,6.491631,,,,3,5,2,6,4,7,9,8,4,4,,8,,5
"ESS1e06_7",1,"6.7","23.11.2023",3039100,"IT",0.9931,1.1821305,4.067886,4.8087716,,,,2,1,2,88,3,4,3,5,1,4,,5,,6
"ESS1e06_7",1,"6.7","23.11.2023",3039200,"IT",0.9931,0.72737056,4.067886,2.9588604,,,,5,7,1,6,6,7,5,8,5,6,,7,,5
"ESS1e06_7",1,"6.7","23.11.2023",3039300,"IT",0.9931,1.5958242,4.067886,6.491631,,,,5,7,2,4,3,8,7,6,5,6,,8,,7
"ESS1e06_7",1,"6.7","23.11.2023",3039400,"IT",0.9931,1.552206,4.067886,6.314197,,,,6,7,2,7,4,5,6,6,3,6,,6,,7
"ESS1e06_7",1,"6.7","23.11.2023",3039500,"IT",0.9931,1.1821305,4.067886,4.8087716,,,,5,5,2,3,3,4,7,7,3,2,,3,,7
