"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplhlp","ppltrst","lawobey","lrscale","stfgov","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstun","trstsci","happy"
"ESS1e06_7",1,"6.7","23.11.2023",1000071,"NL",0.9799,1.0039442,0.5544432,0.55663,,,,10,10,2,2,5,5,8,8,6,7,,7,,10
"ESS1e06_7",1,"6.7","23.11.2023",1000081,"NL",0.9799,1.3765,0.5544432,0.76319104,,,,3,8,2,2,2,2,5,8,5,10,,0,,10
"ESS1e06_7",1,"6.7","23.11.2023",1000101,"NL",0.4899,0.5019209,0.5544432,0.2782866,,,,7,8,2,8,4,5,8,7,5,6,,6,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000111,"NL",0.4899,0.4866335,0.5544432,0.26981062,,,,8,8,3,0,7,5,8,6,2,7,,4,,7
"ESS1e06_7",1,"6.7","23.11.2023",1000131,"NL",0.4899,0.4290148,0.5544432,0.23786433,,,,6,5,4,2,1,5,4,3,5,4,,6,,6
"ESS1e06_7",1,"6.7","23.11.2023",1000261,"NL",0.9799,1.4183729,0.5544432,0.7864072,,,,7,6,2,5,2,0,3,3,0,5,,4,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000271,"NL",0.9799,1.2934556,0.5544432,0.71714765,,,,6,5,2,8,7,5,3,7,2,2,,6,,7
"ESS1e06_7",1,"6.7","23.11.2023",1000291,"NL",0.9799,1.2934556,0.5544432,0.71714765,,,,2,3,2,3,3,5,5,5,3,3,,6,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000361,"NL",1.9598,2.5793664,0.5544432,1.4301121,,,,5,6,3,8,5,6,6,5,6,6,,4,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000381,"NL",0.9799,1.6335075,0.5544432,0.9056871,,,,6,4,3,4,8,3,4,6,5,7,,6,,10
"ESS1e06_7",1,"6.7","23.11.2023",1000382,"NL",0.9799,0.9733664,0.5544432,0.53967637,,,,3,7,4,5,7,1,3,8,5,2,,6,,10
"ESS1e06_7",1,"6.7","23.11.2023",1000421,"NL",0.9799,1.0589412,0.5544432,0.58712274,,,,4,5,2,2,4,5,5,5,5,5,,7,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000431,"NL",0.9799,1.1534517,0.5544432,0.63952345,,,,5,7,3,3,6,6,7,8,5,5,,8,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000441,"NL",0.9799,1.0589412,0.5544432,0.58712274,,,,6,4,2,4,3,2,3,3,4,6,,2,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000451,"NL",1.4698,1.0593923,0.5544432,0.58737284,,,,6,6,3,4,4,3,4,4,3,4,,88,,6
"ESS1e06_7",1,"6.7","23.11.2023",1000471,"NL",0.9799,1.1534517,0.5544432,0.63952345,,,,8,8,2,5,1,4,1,4,4,4,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",1000481,"NL",0.4899,0.7091141,0.5544432,0.39316347,,,,8,8,2,5,5,7,7,7,7,8,,7,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000501,"NL",0.4899,0.64666176,0.5544432,0.3585372,,,,4,5,1,7,5,0,8,5,4,3,,0,,8
"ESS1e06_7",1,"6.7","23.11.2023",1000531,"NL",0.4899,0.5294166,0.5544432,0.29353145,,,,7,7,2,1,5,88,7,8,7,6,,5,,5
