"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","pplhlp","ppltrst","lawobey","lrscale","stfgov","trstep","trstlgl","trstplc","trstplt","trstprl","trstprt","trstun","trstsci","happy"
"ESS1e06_7",1,"6.7","23.11.2023",2,"ES",1.2672,2.3464944,2.0200796,4.7401056,,,,5,5,2,3,0,5,5,5,1,5,,8,,7
"ESS1e06_7",1,"6.7","23.11.2023",5,"ES",0.8448,0.70053184,2.0200796,1.4151301,,,,3,3,2,3,0,2,2,4,2,4,,4,,8
"ESS1e06_7",1,"6.7","23.11.2023",8,"ES",1.2672,2.413873,2.0200796,4.8762155,,,,8,5,3,0,5,0,2,0,0,5,,0,,8
"ESS1e06_7",1,"6.7","23.11.2023",13,"ES",0.8652,1.0648167,2.0200796,2.1510146,,,,4,2,2,2,5,5,5,5,3,5,,5,,6
"ESS1e06_7",1,"6.7","23.11.2023",15,"ES",0.8652,0.73702955,2.0200796,1.4888583,,,,2,2,2,5,4,88,1,7,88,7,,88,,6
"ESS1e06_7",1,"6.7","23.11.2023",22,"ES",1.7304,2.1296334,2.0200796,4.302029,,,,5,8,2,88,7,7,6,9,5,9,,8,,8
"ESS1e06_7",1,"6.7","23.11.2023",23,"ES",0.4326,0.41509965,2.0200796,0.83853436,,,,3,4,2,88,2,88,1,7,0,1,,88,,5
"ESS1e06_7",1,"6.7","23.11.2023",25,"ES",1.7941,2.9828842,2.0200796,6.0256634,,,,4,7,2,3,2,3,4,4,1,5,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",27,"ES",1.3456,0.6275136,2.0200796,1.2676274,,,,5,8,4,5,3,5,3,6,2,7,,3,,7
"ESS1e06_7",1,"6.7","23.11.2023",31,"ES",0.897,0.4183113,2.0200796,0.84502214,,,,4,5,2,3,3,5,3,5,3,3,,8,,8
"ESS1e06_7",1,"6.7","23.11.2023",36,"ES",1.3456,1.1313396,2.0200796,2.2853959,,,,2,1,1,5,5,5,5,7,3,5,,8,,8
"ESS1e06_7",1,"6.7","23.11.2023",37,"ES",1.7045,2.0977578,2.0200796,4.237638,,,,2,3,2,88,5,8,2,10,3,5,,8,,10
"ESS1e06_7",1,"6.7","23.11.2023",38,"ES",0.8522,0.8177252,2.0200796,1.65187,,,,4,3,2,4,6,88,2,2,4,88,,88,,7
"ESS1e06_7",1,"6.7","23.11.2023",41,"ES",0.8522,0.72595537,2.0200796,1.4664876,,,,3,5,8,3,2,88,88,5,2,88,,88,,4
"ESS1e06_7",1,"6.7","23.11.2023",42,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,3,3,2,88,4,88,2,2,88,6,,88,,8
"ESS1e06_7",1,"6.7","23.11.2023",43,"ES",1.2784,1.0890182,2.0200796,2.1999035,,,,4,6,2,88,2,5,6,8,7,8,,5,,6
"ESS1e06_7",1,"6.7","23.11.2023",46,"ES",0.4261,0.4088626,2.0200796,0.825935,,,,3,4,2,4,5,5,3,7,4,6,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",47,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,7,7,2,88,9,88,9,9,7,88,,88,,10
"ESS1e06_7",1,"6.7","23.11.2023",48,"ES",0.7451,0.6347211,2.0200796,1.2821871,,,,2,3,8,2,2,2,2,2,2,2,,2,,2
"ESS1e06_7",1,"6.7","23.11.2023",49,"ES",1.1177,1.5121849,2.0200796,3.0547338,,,,3,5,1,88,5,5,0,2,88,5,,88,,10
"ESS1e06_7",1,"6.7","23.11.2023",51,"ES",0.3726,0.35752687,2.0200796,0.72223276,,,,5,2,8,3,88,6,4,5,6,5,,6,,4
"ESS1e06_7",1,"6.7","23.11.2023",53,"ES",1.4902,1.8340151,2.0200796,3.7048566,,,,5,8,1,8,3,7,4,3,4,5,,8,,9
"ESS1e06_7",1,"6.7","23.11.2023",54,"ES",0.7451,0.8914111,2.0200796,1.8007214,,,,5,3,8,7,5,8,8,2,5,7,,8,,5
"ESS1e06_7",1,"6.7","23.11.2023",55,"ES",0.7451,0.7149578,2.0200796,1.4442716,,,,2,2,2,3,3,6,6,4,2,7,,4,,5
"ESS1e06_7",1,"6.7","23.11.2023",59,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,7,5,8,3,4,88,7,7,4,7,,88,,6
"ESS1e06_7",1,"6.7","23.11.2023",60,"ES",1.3845,1.8731501,2.0200796,3.7839124,,,,2,4,2,3,4,6,6,6,7,7,,4,,5
"ESS1e06_7",1,"6.7","23.11.2023",61,"ES",0.4615,0.44283053,2.0200796,0.89455295,,,,4,4,8,3,5,5,5,5,4,6,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",64,"ES",0.923,0.88566107,2.0200796,1.7891059,,,,3,4,2,88,4,5,5,6,5,6,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",66,"ES",0.923,0.78626704,2.0200796,1.588322,,,,7,7,2,4,5,6,7,8,6,7,,6,,5
"ESS1e06_7",1,"6.7","23.11.2023",68,"ES",1.3651,1.0188773,2.0200796,2.0582132,,,,5,5,4,4,3,5,5,3,2,6,,6,,6
"ESS1e06_7",1,"6.7","23.11.2023",69,"ES",0.6825,0.40827703,2.0200796,0.8247521,,,,5,6,4,3,1,5,4,2,0,5,,3,,6
"ESS1e06_7",1,"6.7","23.11.2023",71,"ES",1.3651,0.8210393,2.0200796,1.6585648,,,,3,3,3,5,4,7,6,8,5,7,,7,,7
"ESS1e06_7",1,"6.7","23.11.2023",72,"ES",1.0238,1.297414,2.0200796,2.6208794,,,,7,6,2,5,4,6,6,5,4,6,,7,,6
"ESS1e06_7",1,"6.7","23.11.2023",73,"ES",0.3413,0.36765334,2.0200796,0.742689,,,,8,4,2,5,3,88,10,10,2,10,,88,,7
"ESS1e06_7",1,"6.7","23.11.2023",74,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,5,8,5,4,4,8,6,6,4,7,,8,,7
"ESS1e06_7",1,"6.7","23.11.2023",75,"ES",0.6825,0.4104896,2.0200796,0.82922167,,,,6,6,4,3,0,6,5,4,0,3,,4,,6
"ESS1e06_7",1,"6.7","23.11.2023",76,"ES",1.0238,0.53599244,2.0200796,1.0827475,,,,4,5,3,4,4,6,4,2,1,88,,5,,6
"ESS1e06_7",1,"6.7","23.11.2023",77,"ES",0.8614,1.1569238,2.0200796,2.337078,,,,2,3,2,4,4,88,7,6,4,6,,5,,7
"ESS1e06_7",1,"6.7","23.11.2023",80,"ES",0.8614,0.92791265,2.0200796,1.8744575,,,,2,2,2,6,6,88,5,7,4,6,,88,,6
"ESS1e06_7",1,"6.7","23.11.2023",83,"ES",0.8614,1.1901443,2.0200796,2.4041862,,,,7,8,3,5,88,7,7,8,5,9,,7,,8
"ESS1e06_7",1,"6.7","23.11.2023",84,"ES",1.2921,0.7930086,2.0200796,1.6019405,,,,3,5,3,0,8,8,5,7,8,8,,5,,77
"ESS1e06_7",1,"6.7","23.11.2023",89,"ES",1.997,2.6821184,2.0200796,5.4180927,,,,2,1,3,88,3,88,1,0,0,88,,88,,8
"ESS1e06_7",1,"6.7","23.11.2023",90,"ES",1.6642,2.2993245,2.0200796,4.644819,,,,4,3,4,88,3,88,3,2,0,6,,88,,8
"ESS1e06_7",1,"6.7","23.11.2023",91,"ES",0.6657,0.40038523,2.0200796,0.80881006,,,,3,3,4,3,2,3,3,4,2,5,,1,,6
"ESS1e06_7",1,"6.7","23.11.2023",92,"ES",0.6657,0.34851548,2.0200796,0.704029,,,,6,7,4,3,2,6,6,5,3,4,,5,,6
