cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
España,4.0,5.0,5.0,2.0,3.0,3.0,5.0,4.0,0.0,5.0,5.0,1.0,5.0,0.0,0.0,5.0,5.0,7.0,3.0,1,0,12.25,4.5
España,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,4.0,2.0,4.0,0.0,8.0,6.0,9.0,8.0,0.0,1,0,0.75,4.5
España,3.0,8.0,5.0,1.0,0.0,3.0,6.0,5.0,5.0,2.0,0.0,0.0,5.0,0.0,10.0,6.0,5.0,8.0,0.0,1,0,7.75,9.5
España,5.0,4.0,2.0,3.0,2.0,4.0,2.0,6.0,5.0,5.0,5.0,3.0,5.0,0.0,7.0,6.0,3.0,6.0,0.0,1,0,8.0,3.25
España,3.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,4.0,1.0,7.0,0.0,7.0,0.0,8.0,5.0,5.0,6.0,5.0,1,3,6.0,3.25
España,7.0,5.0,8.0,2.0,5.0,3.0,8.0,7.0,7.0,6.0,9.0,5.0,9.0,0.0,6.0,9.0,6.0,8.0,3.0,1,1,4.75,1.5
España,7.0,3.0,4.0,2.0,5.0,3.0,5.0,5.0,2.0,1.0,7.0,0.0,1.0,0.0,4.0,2.0,3.0,5.0,8.0,1,2,6.25,3.0
España,7.0,4.0,7.0,2.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,1.0,5.0,0.0,8.0,9.0,7.0,7.0,3.0,1,0,3.0,1.75
España,8.0,5.0,8.0,1.0,5.0,3.0,8.0,4.0,3.0,3.0,6.0,2.0,7.0,0.0,6.0,6.0,7.0,7.0,3.0,1,0,3.25,2.0
España,8.0,4.0,5.0,5.0,3.0,2.0,10.0,3.0,3.0,3.0,5.0,3.0,3.0,0.0,9.0,7.0,5.0,8.0,6.0,1,0,4.75,3.5
España,5.0,2.0,1.0,2.0,5.0,4.0,7.0,7.0,5.0,5.0,7.0,3.0,5.0,0.0,8.0,5.0,4.0,8.0,4.0,1,0,9.0,1.75
España,2.0,2.0,3.0,3.0,5.0,4.0,8.0,5.0,5.0,2.0,10.0,3.0,5.0,0.0,6.0,5.0,4.0,10.0,2.0,1,2,8.0,4.75
España,2.0,4.0,3.0,2.0,4.0,3.0,5.0,5.0,6.0,2.0,2.0,4.0,5.0,0.0,6.0,4.0,3.0,7.0,7.0,1,2,4.75,1.5
España,4.0,3.0,5.0,2.0,3.0,4.0,6.0,4.0,2.0,5.0,5.0,2.0,5.0,0.0,8.0,2.0,5.0,4.0,2.0,1,3,7.5,1.75
España,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,2.0,2.0,0.0,6.0,0.0,6.0,5.0,4.0,8.0,4.0,1,3,5.0,3.25
España,2.0,4.0,6.0,2.0,5.0,2.0,5.0,4.0,2.0,6.0,8.0,7.0,8.0,0.0,3.0,5.0,5.0,6.0,2.0,1,1,6.25,1.5
España,5.0,3.0,4.0,2.0,4.0,4.0,6.0,5.0,5.0,3.0,7.0,4.0,6.0,0.0,7.0,5.0,5.0,7.0,4.0,1,2,7.5,1.75
España,5.0,7.0,7.0,2.0,5.0,4.0,7.0,9.0,9.0,9.0,9.0,7.0,5.0,0.0,8.0,8.0,7.0,10.0,10.0,1,2,4.5,4.75
España,3.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,9.0,5.0,5.0,2.0,2.0,1,2,3.5,1.75
España,3.0,3.0,5.0,3.0,5.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,9.0,1.0,2.0,10.0,5.0,1,2,8.0,9.25
España,5.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,0.0,9.0,5.0,3.0,4.0,5.0,1,3,12.0,2.25
España,8.0,5.0,8.0,2.0,8.0,4.0,5.0,5.0,3.0,4.0,3.0,4.0,5.0,0.0,8.0,5.0,5.0,9.0,2.0,1,0,9.0,1.75
España,2.0,5.0,3.0,5.0,7.0,2.0,5.0,5.0,5.0,8.0,2.0,5.0,7.0,0.0,7.0,5.0,5.0,5.0,7.0,1,1,12.25,2.0
España,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,3.0,6.0,4.0,2.0,7.0,0.0,7.0,5.0,3.0,5.0,6.0,1,1,3.0,1.75
España,5.0,7.0,5.0,2.0,3.0,4.0,5.0,6.0,4.0,7.0,7.0,4.0,7.0,0.0,6.0,5.0,5.0,6.0,4.0,1,3,7.5,1.75
España,4.0,2.0,4.0,2.0,3.0,4.0,5.0,6.0,4.0,6.0,6.0,7.0,7.0,0.0,9.0,3.0,6.0,5.0,4.0,1,0,3.0,1.75
España,2.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,4.0,6.0,0.0,5.0,3.0,3.0,7.0,5.0,1,0,9.25,1.5
España,4.0,3.0,4.0,3.0,5.0,3.0,5.0,5.0,4.0,5.0,6.0,5.0,6.0,0.0,6.0,3.0,5.0,7.0,5.0,1,1,11.25,1.5
España,3.0,7.0,7.0,2.0,4.0,4.0,5.0,5.0,5.0,7.0,8.0,6.0,7.0,0.0,3.0,5.0,5.0,5.0,3.0,1,2,9.0,1.75
España,6.0,5.0,5.0,2.0,4.0,3.0,6.0,3.0,3.0,5.0,3.0,2.0,6.0,0.0,7.0,7.0,7.0,6.0,3.0,1,0,4.75,1.5
España,7.0,5.0,6.0,3.0,3.0,2.0,5.0,3.0,1.0,4.0,2.0,0.0,5.0,0.0,7.0,7.0,7.0,6.0,0.0,1,0,5.25,4.5
España,3.0,3.0,3.0,2.0,5.0,2.0,7.0,6.0,4.0,6.0,8.0,5.0,7.0,0.0,8.0,7.0,4.0,7.0,3.0,1,0,3.25,1.5
España,7.0,7.0,6.0,3.0,5.0,3.0,7.0,4.0,4.0,6.0,5.0,4.0,6.0,0.0,6.0,6.0,4.0,6.0,3.0,1,0,3.75,1.5
España,7.0,8.0,4.0,4.0,5.0,4.0,9.0,2.0,3.0,10.0,10.0,2.0,10.0,0.0,7.0,5.0,3.0,7.0,7.0,1,0,3.0,6.25
España,7.0,5.0,8.0,2.0,4.0,3.0,8.0,4.0,4.0,6.0,6.0,4.0,7.0,0.0,8.0,7.0,8.0,7.0,4.0,1,0,1.75,1.5
España,6.0,6.0,6.0,4.0,3.0,2.0,3.0,2.0,0.0,5.0,4.0,0.0,3.0,0.0,10.0,7.0,6.0,6.0,1.0,1,0,1.75,6.0
España,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,2.0,1.0,5.0,0.0,5.0,7.0,7.0,6.0,2.0,1,1,6.75,1.5
España,3.0,2.0,3.0,2.0,4.0,3.0,7.0,6.0,4.0,7.0,6.0,4.0,6.0,0.0,4.0,5.0,5.0,7.0,3.0,1,2,3.25,1.5
España,5.0,2.0,2.0,3.0,6.0,3.0,7.0,6.0,6.0,5.0,7.0,4.0,6.0,0.0,9.0,5.0,5.0,6.0,7.0,1,1,6.75,1.5
España,8.0,7.0,8.0,2.0,5.0,3.0,3.0,8.0,5.0,7.0,8.0,5.0,9.0,0.0,8.0,3.0,2.0,8.0,0.0,1,1,4.75,3.0
España,8.0,3.0,5.0,2.0,0.0,2.0,10.0,8.0,8.0,5.0,7.0,8.0,8.0,0.0,10.0,7.0,3.0,8.0,9.0,1,1,3.25,6.0
España,2.0,2.0,1.0,2.0,5.0,4.0,5.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,9.0,2.0,2.0,8.0,6.0,1,3,4.5,4.75
España,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,0.0,6.0,0.0,7.0,2.0,2.0,8.0,0.0,1,1,3.5,4.75
España,2.0,3.0,3.0,2.0,3.0,2.0,6.0,3.0,2.0,3.0,4.0,2.0,5.0,0.0,6.0,6.0,6.0,6.0,0.0,1,0,1.75,3.0
España,8.0,6.0,7.0,2.0,3.0,2.0,5.0,4.0,2.0,6.0,5.0,3.0,4.0,0.0,8.0,5.0,6.0,6.0,0.0,1,1,4.75,3.0
España,0.0,0.0,0.0,3.0,4.0,3.0,8.0,7.0,4.0,8.0,7.0,4.0,8.0,0.0,5.0,8.0,6.0,2.0,5.0,1,0,3.75,6.0
España,8.0,2.0,1.0,2.0,5.0,4.0,10.0,9.0,6.0,10.0,9.0,0.0,10.0,0.0,9.0,8.0,7.0,8.0,1.0,1,0,1.5,7.75
España,8.0,8.0,7.0,2.0,6.0,4.0,9.0,9.0,8.0,10.0,9.0,8.0,10.0,0.0,9.0,7.0,7.0,10.0,9.0,1,0,0.0,6.25
España,6.0,3.0,5.0,2.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,5.0,0.0,7.0,9.0,8.0,8.0,5.0,1,1,7.5,1.75
España,6.0,8.0,8.0,2.0,3.0,2.0,8.0,5.0,3.0,8.0,8.0,4.0,9.0,0.0,5.0,8.0,7.0,7.0,7.0,1,0,3.25,1.5
España,7.0,5.0,6.0,3.0,5.0,4.0,8.0,4.0,4.0,8.0,7.0,3.0,10.0,0.0,10.0,5.0,7.0,7.0,1.0,1,1,5.0,4.75
España,2.0,2.0,2.0,2.0,5.0,3.0,7.0,6.0,4.0,7.0,8.0,3.0,7.0,0.0,8.0,5.0,2.0,6.0,7.0,1,1,3.25,1.5
España,6.0,7.0,7.0,3.0,4.0,4.0,8.0,3.0,3.0,0.0,9.0,0.0,10.0,0.0,7.0,7.0,8.0,8.0,3.0,1,0,0.5,6.25
España,7.0,3.0,3.0,3.0,5.0,3.0,8.0,3.0,2.0,8.0,8.0,6.0,6.0,0.0,7.0,5.0,2.0,8.0,3.0,1,1,3.75,1.5
España,8.0,7.0,9.0,2.0,5.0,4.0,8.0,2.0,1.0,8.0,8.0,2.0,8.0,0.0,6.0,6.0,7.0,8.0,4.0,1,0,1.5,1.75
España,3.0,7.0,7.0,2.0,3.0,2.0,5.0,4.0,0.0,7.0,8.0,2.0,9.0,0.0,5.0,1.0,1.0,7.0,0.0,1,1,3.25,4.5
España,2.0,9.0,8.0,2.0,5.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,5.0,5.0,10.0,7.0,1,2,4.5,12.25
España,6.0,5.0,6.0,2.0,4.0,3.0,5.0,4.0,3.0,5.0,6.0,2.0,3.0,0.0,5.0,6.0,6.0,6.0,2.0,1,0,6.25,1.5
España,2.0,2.0,2.0,4.0,7.0,3.0,7.0,5.0,7.0,5.0,7.0,2.0,6.0,0.0,8.0,3.0,2.0,4.0,6.0,1,0,3.25,1.5
España,2.0,5.0,2.0,2.0,3.0,2.0,8.0,4.0,3.0,0.0,7.0,0.0,8.0,0.0,9.0,8.0,2.0,10.0,3.0,1,0,1.75,6.0
España,3.0,3.0,2.0,2.0,7.0,4.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,0.0,7.0,6.0,5.0,6.0,5.0,1,1,3.0,1.75
España,4.0,4.0,6.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,0.0,6.0,6.0,7.0,6.0,2.0,1,0,3.25,1.5
España,6.0,5.0,6.0,3.0,5.0,3.0,4.0,4.0,2.0,3.0,2.0,0.0,4.0,0.0,8.0,6.0,5.0,6.0,3.0,1,0,5.25,3.0
España,3.0,3.0,2.0,2.0,5.0,4.0,6.0,4.0,3.0,5.0,7.0,2.0,6.0,0.0,8.0,5.0,3.0,5.0,6.0,1,1,6.0,1.75
España,7.0,5.0,6.0,4.0,6.0,3.0,7.0,6.0,6.0,5.0,5.0,3.0,6.0,0.0,6.0,6.0,7.0,6.0,3.0,1,0,4.75,1.5
España,6.0,4.0,4.0,4.0,4.0,3.0,6.0,4.0,3.0,5.0,5.0,0.0,5.0,0.0,8.0,5.0,7.0,6.0,2.0,1,0,6.25,3.0
España,8.0,6.0,4.0,3.0,6.0,4.0,5.0,4.0,3.0,7.0,5.0,0.0,8.0,0.0,8.0,7.0,7.0,10.0,8.0,1,0,3.5,4.75
España,6.0,9.0,7.0,2.0,7.0,3.0,9.0,7.0,3.0,7.0,8.0,3.0,8.0,0.0,5.0,8.0,8.0,8.0,6.0,1,0,1.75,1.5
España,7.0,8.0,6.0,3.0,8.0,2.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,8.0,6.0,3.0,10.0,8.0,1,0,0.75,10.5
España,5.0,8.0,7.0,2.0,7.0,3.0,8.0,4.0,3.0,4.0,3.0,0.0,5.0,0.0,9.0,8.0,9.0,8.0,7.0,1,0,3.25,3.0
España,8.0,9.0,7.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,0.0,3.0,0.0,8.0,7.0,8.0,8.0,2.0,1,0,0.75,3.0
España,9.0,5.0,7.0,4.0,5.0,4.0,6.0,6.0,4.0,5.0,0.0,0.0,6.0,0.0,8.0,2.0,3.0,10.0,9.0,1,0,4.5,6.25
España,3.0,5.0,3.0,2.0,4.0,3.0,6.0,4.0,4.0,5.0,6.0,2.0,5.0,0.0,8.0,6.0,5.0,6.0,0.0,1,1,6.25,3.0
España,7.0,3.0,6.0,3.0,3.0,3.0,7.0,6.0,6.0,4.0,3.0,2.0,5.0,0.0,10.0,5.0,2.0,7.0,3.0,1,0,3.75,3.0
España,5.0,6.0,5.0,2.0,5.0,3.0,5.0,7.0,5.0,5.0,5.0,4.0,5.0,0.0,9.0,7.0,6.0,8.0,7.0,1,1,12.25,1.5
España,6.0,4.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,5.0,5.0,2.0,7.0,0.0,7.0,6.0,5.0,5.0,3.0,1,0,6.75,1.5
España,5.0,6.0,6.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,1.0,6.0,0.0,6.0,7.0,7.0,5.0,3.0,1,0,4.75,1.5
España,5.0,4.0,7.0,3.0,5.0,4.0,7.0,7.0,6.0,4.0,5.0,3.0,6.0,0.0,9.0,7.0,5.0,7.0,3.0,1,1,6.5,1.75
España,3.0,3.0,2.0,3.0,7.0,3.0,7.0,5.0,7.0,1.0,8.0,5.0,5.0,0.0,7.0,5.0,5.0,8.0,5.0,1,4,9.75,1.5
España,7.0,8.0,7.0,2.0,4.0,3.0,5.0,3.0,3.0,6.0,6.0,5.0,7.0,0.0,7.0,5.0,6.0,5.0,0.0,1,1,6.25,3.0
