cntry,pplfair,pplhlp,ppltrst,lw_pnd,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,contadornegativo,ContadorNeutro,ContadorPositivo
Hungría,6.0,5.0,7.0,2.0,8.0,2.0,6.0,5.0,4.0,8.0,5.0,5.0,6.0,7.0,0.0,5.0,5.0,5.0,8.0,5.0,2,0,12.25,1.5
Hungría,6.0,4.0,6.0,2.0,6.0,3.0,6.0,4.0,4.0,8.0,4.0,3.0,4.0,8.0,0.0,9.0,3.0,7.0,7.0,5.0,2,0,1.75,1.5
Hungría,8.0,7.0,5.0,2.0,8.0,3.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,3.0,9.0,1.0,2,0,9.25,1.5
Hungría,0.0,2.0,1.0,1.0,10.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,8.0,5.0,5.0,0.0,2,0,4.5,14.25
Hungría,8.0,7.0,5.0,2.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,4.0,2.0,3.0,0.0,9.0,0.0,0.0,9.0,8.0,2,0,6.25,4.5
Hungría,4.0,4.0,4.0,1.0,5.0,3.0,6.0,8.0,5.0,5.0,10.0,10.0,4.0,6.0,0.0,10.0,0.0,0.0,5.0,4.0,2,2,6.25,9.5
Hungría,2.0,1.0,1.0,1.0,4.0,3.0,6.0,5.0,4.0,5.0,5.0,8.0,5.0,5.0,0.0,8.0,0.0,0.0,7.0,1.0,2,1,7.75,5.0
Hungría,5.0,1.0,0.0,1.0,0.0,3.0,5.0,3.0,6.0,10.0,6.0,6.0,7.0,5.0,0.0,8.0,4.0,8.0,5.0,2.0,2,0,6.25,6.5
Hungría,2.0,3.0,3.0,3.0,8.0,2.0,2.0,5.0,3.0,3.0,4.0,2.0,2.0,4.0,0.0,8.0,3.0,4.0,7.0,9.0,2,0,2.25,1.5
Hungría,3.0,0.0,0.0,2.0,5.0,3.0,7.0,5.0,5.0,5.0,7.0,3.0,5.0,6.0,0.0,3.0,0.0,5.0,5.0,3.0,2,1,10.75,6.0
Hungría,5.0,3.0,3.0,1.0,5.0,4.0,7.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,4.0,5.0,5.0,4.0,8.0,2,8,15.0,3.75
Hungría,5.0,2.0,9.0,1.0,3.0,4.0,8.0,4.0,7.0,8.0,7.0,7.0,6.0,7.0,0.0,0.0,5.0,6.0,5.0,3.0,2,1,4.5,3.75
Hungría,5.0,7.0,5.0,3.0,3.0,1.0,7.0,5.0,6.0,8.0,3.0,3.0,3.0,5.0,0.0,4.0,5.0,5.0,5.0,4.0,2,1,11.0,1.75
Hungría,3.0,1.0,3.0,1.0,2.0,3.0,9.0,5.0,9.0,7.0,3.0,5.0,4.0,3.0,0.0,7.0,5.0,5.0,5.0,3.0,2,1,7.75,2.0
Hungría,5.0,5.0,5.0,1.0,3.0,3.0,9.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,0.0,5.0,6.0,4.0,5.0,3.0,2,0,7.75,2.0
Hungría,2.0,2.0,1.0,1.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,7.0,5.0,0.0,8.0,5.0,8.0,7.0,7.0,2,2,12.25,2.0
Hungría,1.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,1.0,4.0,0.0,6.0,7.0,5.0,5.0,0.0,2,2,4.75,4.5
Hungría,3.0,6.0,3.0,2.0,5.0,4.0,8.0,4.0,5.0,7.0,5.0,6.0,0.0,5.0,0.0,8.0,5.0,4.0,4.0,2.0,2,4,7.5,3.25
Hungría,0.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,8.0,7.0,2,1,4.75,12.5
Hungría,8.0,9.0,4.0,1.0,5.0,4.0,9.0,5.0,9.0,7.0,8.0,6.0,2.0,5.0,0.0,8.0,5.0,5.0,5.0,0.0,2,2,9.0,3.75
Hungría,5.0,5.0,5.0,2.0,7.0,2.0,8.0,5.0,5.0,6.0,5.0,6.0,4.0,5.0,0.0,5.0,6.0,5.0,9.0,8.0,2,3,13.75,1.5
Hungría,5.0,3.0,5.0,2.0,3.0,2.0,9.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,0.0,8.0,4.0,4.0,6.0,1.0,2,0,3.25,1.5
Hungría,4.0,5.0,3.0,1.0,2.0,2.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,0.0,5.0,4.0,5.0,7.0,2.0,2,1,4.75,2.0
Hungría,10.0,10.0,10.0,1.0,5.0,3.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,8.0,0.0,7.0,5.0,5.0,5.0,0.0,2,1,6.25,8.0
Hungría,7.0,7.0,7.0,1.0,5.0,4.0,7.0,5.0,7.0,5.0,8.0,8.0,0.0,7.0,0.0,8.0,5.0,5.0,5.0,7.0,2,4,9.0,3.75
Hungría,5.0,3.0,1.0,1.0,7.0,3.0,5.0,4.0,5.0,6.0,6.0,7.0,5.0,5.0,0.0,7.0,5.0,5.0,6.0,3.0,2,1,10.75,2.0
Hungría,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,0.0,10.0,0.0,5.0,5.0,0.0,2,0,12.25,6.0
Hungría,7.0,2.0,5.0,1.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,9.0,3.0,3.0,8.0,1.0,2,0,3.25,2.0
Hungría,9.0,8.0,5.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,10.0,5.0,5.0,5.0,0.0,2,0,19.75,4.5
Hungría,10.0,5.0,10.0,1.0,3.0,4.0,5.0,5.0,10.0,10.0,10.0,5.0,10.0,10.0,0.0,9.0,4.0,1.0,5.0,5.0,2,0,9.0,12.75
Hungría,6.0,2.0,5.0,1.0,5.0,3.0,7.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,1.0,5.0,5.0,10.0,5.0,2,5,16.75,5.0
Hungría,9.0,5.0,8.0,1.0,5.0,1.0,8.0,3.0,10.0,5.0,5.0,10.0,8.0,8.0,0.0,8.0,5.0,5.0,3.0,3.0,2,3,9.0,5.25
Hungría,4.0,1.0,4.0,2.0,5.0,3.0,6.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0,10.0,0.0,0.0,6.0,8.0,2,2,9.25,6.0
Hungría,5.0,5.0,3.0,1.0,4.0,4.0,5.0,0.0,5.0,5.0,8.0,10.0,5.0,8.0,0.0,6.0,10.0,5.0,5.0,0.0,2,1,12.0,8.25
Hungría,1.0,2.0,4.0,2.0,3.0,2.0,9.0,4.0,8.0,2.0,10.0,1.0,4.0,8.0,0.0,9.0,5.0,4.0,8.0,0.0,2,0,1.75,4.5
Hungría,0.0,0.0,0.0,1.0,8.0,4.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,8.0,0.0,8.0,5.0,0.0,6.0,2.0,2,1,10.5,8.25
Hungría,5.0,5.0,5.0,1.0,8.0,2.0,7.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,8.0,5.0,6.0,7.0,5.0,2,1,13.75,2.0
Hungría,0.0,5.0,2.0,2.0,5.0,2.0,0.0,0.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,5.0,8.0,0.0,5.0,8.0,2,1,9.25,13.5
Hungría,3.0,8.0,1.0,1.0,8.0,2.0,2.0,0.0,4.0,10.0,9.0,0.0,4.0,0.0,0.0,6.0,5.0,5.0,2.0,0.0,2,0,3.25,9.5
Hungría,1.0,0.0,5.0,1.0,5.0,3.0,5.0,3.0,8.0,2.0,5.0,2.0,2.0,5.0,0.0,5.0,5.0,5.0,8.0,7.0,2,0,12.25,3.5
Hungría,2.0,3.0,4.0,1.0,5.0,3.0,7.0,2.0,6.0,4.0,8.0,7.0,4.0,10.0,0.0,8.0,0.0,0.0,5.0,5.0,2,1,4.75,6.5
Hungría,7.0,0.0,5.0,1.0,5.0,1.0,5.0,5.0,10.0,5.0,4.0,5.0,3.0,4.0,0.0,8.0,0.0,0.0,10.0,2.0,2,4,9.0,9.75
Hungría,4.0,4.0,5.0,1.0,7.0,2.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,0.0,8.0,2.0,5.0,4.0,6.0,2,0,4.75,2.0
Hungría,7.0,3.0,4.0,1.0,5.0,4.0,5.0,8.0,6.0,9.0,10.0,10.0,5.0,8.0,0.0,8.0,7.0,6.0,10.0,5.0,2,0,6.0,6.75
Hungría,2.0,3.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0,10.0,0.0,8.0,4.0,2.0,2.0,10.0,2,3,7.75,5.0
Hungría,5.0,5.0,10.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,3.0,5.0,5.0,5.0,5.0,2,12,21.0,4.75
Hungría,5.0,5.0,6.0,1.0,5.0,2.0,7.0,8.0,4.0,8.0,8.0,8.0,7.0,7.0,0.0,7.0,7.0,7.0,5.0,9.0,2,0,6.25,2.0
Hungría,7.0,8.0,6.0,3.0,5.0,1.0,9.0,5.0,10.0,4.0,5.0,0.0,5.0,4.0,0.0,3.0,5.0,0.0,0.0,10.0,2,2,8.0,9.25
Hungría,5.0,6.0,6.0,1.0,8.0,2.0,7.0,6.0,4.0,7.0,7.0,6.0,4.0,5.0,0.0,5.0,7.0,7.0,7.0,1.0,2,0,4.75,2.0
Hungría,0.0,0.0,0.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,10.0,0.0,6.0,7.0,5.0,5.0,5.0,2,7,13.5,7.75
Hungría,5.0,5.0,5.0,1.0,6.0,3.0,6.0,5.0,5.0,5.0,8.0,8.0,5.0,6.0,0.0,8.0,6.0,6.0,8.0,10.0,2,1,10.75,3.5
Hungría,0.0,0.0,0.0,1.0,10.0,3.0,6.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,10.0,2,0,6.25,20.0
Hungría,3.0,5.0,0.0,1.0,8.0,3.0,8.0,5.0,7.0,5.0,6.0,5.0,5.0,8.0,0.0,7.0,0.0,2.0,5.0,2.0,2,1,9.25,5.0
Hungría,0.0,0.0,2.0,1.0,10.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,6.0,3.0,3.0,8.0,6.0,2,0,0.25,8.0
Hungría,5.0,5.0,5.0,1.0,3.0,4.0,5.0,6.0,8.0,8.0,7.0,0.0,5.0,6.0,0.0,9.0,8.0,7.0,5.0,8.0,2,0,9.0,3.75
Hungría,6.0,5.0,6.0,3.0,5.0,3.0,7.0,5.0,8.0,7.0,6.0,6.0,6.0,6.0,0.0,7.0,6.0,7.0,8.0,5.0,2,1,6.75,1.5
Hungría,3.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,4.0,3.0,3.0,6.0,2.0,4.0,0.0,5.0,4.0,5.0,9.0,5.0,2,0,4.75,1.5
Hungría,5.0,0.0,5.0,1.0,5.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,7.0,0.0,2,3,9.25,15.5
Hungría,7.0,6.0,6.0,1.0,2.0,1.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,0.0,5.0,4.0,5.0,8.0,2.0,2,1,3.0,2.25
Hungría,7.0,5.0,3.0,2.0,2.0,3.0,6.0,6.0,8.0,5.0,3.0,8.0,3.0,4.0,0.0,5.0,5.0,3.0,1.0,7.0,2,1,6.25,1.5
Hungría,4.0,2.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,10.0,10.0,2,2,4.75,9.5
Hungría,6.0,5.0,5.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,0.0,4.0,3.0,2.0,9.0,4.0,2,0,7.75,1.5
Hungría,10.0,5.0,10.0,2.0,10.0,1.0,10.0,9.0,8.0,10.0,6.0,7.0,9.0,10.0,0.0,5.0,7.0,5.0,6.0,9.0,2,0,4.5,10.75
Hungría,5.0,1.0,5.0,1.0,5.0,3.0,6.0,9.0,8.0,5.0,5.0,5.0,0.0,8.0,0.0,8.0,0.0,0.0,9.0,0.0,2,3,9.25,8.0
Hungría,2.0,3.0,2.0,1.0,4.0,2.0,5.0,3.0,5.0,5.0,5.0,1.0,8.0,5.0,0.0,8.0,5.0,5.0,2.0,0.0,2,2,10.75,3.5
Hungría,8.0,5.0,8.0,2.0,8.0,3.0,6.0,5.0,5.0,5.0,7.0,7.0,5.0,9.0,0.0,8.0,5.0,5.0,8.0,1.0,2,3,10.75,1.5
Hungría,5.0,6.0,7.0,1.0,5.0,3.0,8.0,7.0,7.0,5.0,7.0,8.0,6.0,7.0,0.0,8.0,5.0,5.0,7.0,9.0,2,2,7.75,2.0
Hungría,2.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,5.0,6.0,9.0,5.0,6.0,0.0,8.0,5.0,5.0,8.0,6.0,2,2,6.0,2.25
Hungría,1.0,1.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,0.0,5.0,6.0,0.0,4.0,2.0,2,1,3.25,3.5
Hungría,4.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,1.0,5.0,5.0,4.0,2.0,4.0,0.0,8.0,5.0,4.0,6.0,2.0,2,1,7.75,2.0
Hungría,3.0,3.0,5.0,1.0,4.0,3.0,4.0,2.0,8.0,5.0,4.0,7.0,3.0,6.0,0.0,7.0,4.0,5.0,9.0,2.0,2,2,4.75,2.0
Hungría,5.0,8.0,6.0,2.0,8.0,2.0,6.0,6.0,7.0,9.0,8.0,8.0,8.0,8.0,0.0,8.0,5.0,4.0,10.0,6.0,2,0,3.25,3.0
Hungría,8.0,7.0,8.0,1.0,3.0,3.0,3.0,3.0,3.0,9.0,8.0,6.0,6.0,8.0,0.0,6.0,7.0,8.0,9.0,5.0,2,0,1.75,2.0
Hungría,10.0,5.0,10.0,2.0,5.0,4.0,5.0,5.0,5.0,10.0,8.0,10.0,8.0,10.0,0.0,7.0,4.0,4.0,5.0,5.0,2,0,10.5,9.25
Hungría,3.0,4.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,8.0,3.0,3.0,5.0,4.0,2,6,10.5,3.25
Hungría,1.0,1.0,1.0,3.0,5.0,2.0,5.0,3.0,7.0,5.0,3.0,4.0,5.0,8.0,0.0,9.0,5.0,5.0,10.0,2.0,2,5,9.75,3.0
Hungría,1.0,1.0,0.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,5.0,10.0,2,0,3.0,15.75
Hungría,9.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,10.0,2,0,6.25,17.0
Hungría,5.0,5.0,0.0,3.0,5.0,2.0,0.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,2,1,17.25,9.0
Hungría,4.0,4.0,4.0,3.0,5.0,3.0,0.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,2,1,12.75,7.5
Hungría,5.0,3.0,5.0,1.0,5.0,4.0,5.0,2.0,7.0,8.0,5.0,10.0,5.0,7.0,0.0,8.0,5.0,5.0,8.0,3.0,2,0,12.0,3.75
Hungría,0.0,5.0,0.0,3.0,5.0,4.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,6.0,0.0,4.0,5.0,5.0,8.0,0.0,2,0,11.0,12.25
Hungría,4.0,1.0,6.0,1.0,0.0,3.0,4.0,1.0,6.0,8.0,3.0,2.0,2.0,5.0,0.0,7.0,4.0,6.0,8.0,0.0,2,0,1.75,5.0
Hungría,10.0,7.0,10.0,1.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,5.0,10.0,2,1,13.5,11.25
Hungría,0.0,0.0,1.0,3.0,5.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2,0,3.75,19.5
Hungría,4.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,0.0,8.0,5.0,5.0,5.0,3.0,2,1,9.25,1.5
Hungría,6.0,6.0,6.0,1.0,9.0,2.0,6.0,6.0,5.0,8.0,6.0,6.0,5.0,5.0,0.0,6.0,6.0,5.0,8.0,7.0,2,0,6.25,2.0
Hungría,10.0,10.0,10.0,1.0,5.0,4.0,7.0,6.0,7.0,5.0,8.0,8.0,5.0,7.0,0.0,7.0,5.0,5.0,8.0,5.0,2,2,9.0,6.75
Hungría,10.0,0.0,0.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,0.0,7.0,5.0,5.0,3.0,0.0,2,1,13.75,8.0
Hungría,5.0,8.0,3.0,2.0,5.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,3.0,3.0,0.0,2,2,3.0,10.75
Hungría,2.0,2.0,2.0,1.0,3.0,2.0,6.0,5.0,6.0,8.0,6.0,6.0,8.0,8.0,0.0,6.0,4.0,2.0,5.0,6.0,2,0,3.25,2.0
Hungría,9.0,3.0,9.0,2.0,5.0,4.0,10.0,8.0,10.0,10.0,8.0,8.0,8.0,10.0,0.0,5.0,5.0,5.0,10.0,2.0,2,0,6.0,9.25
Hungría,0.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0,6.0,5.0,6.0,3.0,3.0,4.0,0.0,9.0,6.0,5.0,10.0,6.0,2,2,7.75,4.5
Hungría,6.0,4.0,7.0,2.0,5.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,10.0,3.0,3.0,8.0,1.0,2,1,10.75,3.0
Hungría,8.0,8.0,8.0,2.0,1.0,2.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,7.0,4.0,5.0,10.0,3.0,2,0,1.75,3.0
Hungría,5.0,4.0,7.0,1.0,9.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,5.0,2.0,0.0,7.0,5.0,2.0,9.0,10.0,2,0,4.75,3.5
Hungría,3.0,3.0,5.0,1.0,6.0,3.0,8.0,6.0,6.0,8.0,8.0,5.0,5.0,8.0,0.0,5.0,6.0,8.0,9.0,6.0,2,0,6.25,2.0
