cntry,pplfair,pplhlp,ppltrst,lrscale,polintr,stfdem,stfeco,stfgov,trstep,trstlgl,trstplc,trstplt,trstprl,trstprt,trtsci_pnd,imbgeco,imwbcnt,happy,rlgdgr,cntgrp_fc,lw_pnd,cnt_fc,rel3fc,happyfc,confianza_promedio,confianza_promedio_factorizada,satisf_media,satisf_media_factorizada,pintfc,ppl,ppl_fc,lrscale_fc,lrscale2_fc
España,5,2,8,8,2,9,8,8,8,0,7,7,8,0,5,4,5,9,7,1,,3,2,2,5.0,2,8.333333333333334,4,1,5.0,2,3,4
Portugal,5,5,5,0,4,5,6,5,5,5,5,5,5,0,8,4,3,7,8,1,,5,2,1,4.714285714285714,2,5.333333333333333,2,2,5.0,2,0,0
Países Bajos,6,8,6,6,3,6,8,7,4,4,6,5,3,4,8,5,6,8,6,0,4.0,2,1,1,4.857142857142857,2,7.0,3,1,6.666666666666667,2,2,3
Alemania,7,7,10,5,3,3,5,2,2,5,7,2,2,2,5,5,2,9,10,0,1.0,1,2,2,3.5714285714285716,1,3.3333333333333335,1,1,8.0,3,2,2
Bélgica,7,7,7,6,4,5,4,5,5,2,5,2,2,2,9,7,4,8,3,0,1.0,0,0,1,3.857142857142857,1,4.666666666666667,2,2,7.0,2,2,3
Italia,4,2,5,5,3,3,2,3,3,3,6,2,5,1,8,4,0,6,6,1,,4,1,1,4.0,2,2.6666666666666665,1,1,3.6666666666666665,1,2,2
Bélgica,6,4,6,5,4,5,5,5,5,6,7,5,5,5,6,6,5,6,8,0,2.0,0,2,1,5.571428571428571,2,5.0,2,2,5.333333333333333,2,2,2
Alemania,6,3,5,5,1,6,6,6,6,6,7,5,4,4,4,6,5,5,3,0,3.0,1,0,0,5.142857142857143,2,6.0,3,0,4.666666666666667,1,2,2
Países Bajos,7,5,6,5,4,5,7,5,5,6,6,5,5,5,8,5,6,9,0,0,2.0,2,0,2,5.714285714285714,2,5.666666666666667,2,2,6.0,2,2,2
Eslovaquia,3,1,0,5,1,0,7,4,1,9,10,5,2,2,3,1,1,4,4,2,1.0,8,1,0,4.571428571428571,2,3.6666666666666665,1,0,1.3333333333333333,0,2,2
Países Bajos,8,3,9,4,2,9,7,3,6,8,6,6,8,6,8,8,5,8,8,0,2.0,2,2,1,6.857142857142857,3,6.333333333333333,3,1,6.666666666666667,2,1,2
Países Bajos,7,6,8,7,2,6,6,5,4,1,7,6,6,6,5,6,6,8,2,0,3.0,2,0,1,5.0,2,5.666666666666667,2,1,7.0,2,2,3
España,8,8,7,3,3,8,3,8,8,7,6,5,7,5,3,8,7,6,7,1,,3,2,1,5.857142857142857,2,6.333333333333333,3,1,7.666666666666667,3,1,1
Hungría,9,1,0,10,3,8,8,10,0,6,10,6,10,8,7,0,0,7,10,2,1.0,7,2,1,6.714285714285714,3,8.666666666666666,4,1,3.3333333333333335,1,3,4
Eslovaquia,2,2,1,2,3,5,1,3,4,4,4,4,4,4,0,5,5,5,6,2,3.0,8,1,0,3.4285714285714284,1,3.0,1,1,1.6666666666666667,0,0,1
España,6,6,5,0,4,5,1,1,8,2,8,0,3,0,9,7,6,3,1,1,,3,0,0,4.285714285714286,2,2.3333333333333335,1,2,5.666666666666667,2,0,0
Hungría,5,2,2,7,3,3,1,5,4,6,6,5,5,4,7,2,2,2,5,2,3.0,7,1,0,5.285714285714286,2,3.0,1,1,3.0,1,2,3
Eslovaquia,5,7,7,5,2,4,6,5,8,7,7,5,4,5,8,7,8,8,1,2,1.0,8,0,1,6.285714285714286,3,5.0,2,1,6.333333333333333,2,2,2
